event_id,claim_id,county_code,county_name,city,postal_code,temperature_c,precip_mm,wind_mps,hail_size_cm
EV-0000026,CL-0000026,BV,Brasov,Fagaras,575481,2.5,1.5,2.5,2.18
EV-0000027,CL-0000027,BV,Brasov,Fagaras,575481,-2.1,6.5,2.7,1.44
EV-0000028,CL-0000028,CJ,Cluj,Turda,190649,8.9,10.2,5.0,0.39
EV-0000029,CL-0000029,TL,Tulcea,Tulcea,436491,6.3,6.1,8.0,0.36
EV-0000030,CL-0000030,TM,Timis,Timisoara,420233,13.5,5.1,4.1,0.0
EV-0000031,CL-0000031,TM,Timis,Timisoara,420233,-8.7,1.1,4.0,0.0
EV-0000032,CL-0000032,AG,Arges,Curtea de Arges,120093,9.5,3.1,4.6,0.0
EV-0000033,CL-0000033,NT,Neamt,Piatra Neamt,772343,-14.0,14.7,2.0,1.21
EV-0000034,CL-0000034,BH,Bihor,Alesd,429553,20.5,6.3,1.2,0.0
EV-0000035,CL-0000035,NT,Neamt,Roman,908507,2.1,2.9,5.1,0.25
EV-0000036,CL-0000036,BR,Braila,Braila,318650,15.0,5.8,0.0,0.2
EV-0000037,CL-0000037,CV,Covasna,Targu Secuiesc,907188,12.3,12.0,1.2,0.0
EV-0000038,CL-0000038,MS,Mures,Reghin,127274,8.8,8.0,2.5,0.12
EV-0000039,CL-0000039,NT,Neamt,Piatra Neamt,385692,1.7,1.7,2.3,0.33
EV-0000040,CL-0000040,IS,Iasi,Iasi,385534,2.1,4.0,4.5,0.06
EV-0000041,CL-0000041,BZB,Bucuresti,Sector 2,815442,0.1,16.5,6.1,0.0
EV-0000042,CL-0000042,BH,Bihor,Oradea,991438,8.7,7.3,3.9,1.67
EV-0000043,CL-0000043,BZB,Bucuresti,Sector 2,128067,19.6,4.6,6.1,0.07
EV-0000044,CL-0000044,MS,Mures,Reghin,909628,25.2,7.0,4.5,1.3
EV-0000045,CL-0000045,CL,Calarasi,Oltenita,147925,25.7,8.7,5.6,0.09
EV-0000046,CL-0000046,BZ,Buzau,Ramnicul Sarat,255963,15.5,0.3,2.3,0.16
EV-0000047,CL-0000047,BC,Bacau,Bacau,582376,10.8,1.3,2.5,0.0
EV-0000048,CL-0000048,BC,Bacau,Bacau,582376,10.4,9.4,6.7,0.0
EV-0000049,CL-0000049,BZB,Bucuresti,Sector 5,174866,5.7,11.4,3.4,1.45
EV-0000050,CL-0000050,BZB,Bucuresti,Sector 2,996355,14.9,0.3,4.9,0.0
EV-0000051,CL-0000051,BV,Brasov,Brasov,775257,7.5,6.4,3.4,0.0
EV-0000052,CL-0000052,BZB,Bucuresti,Sector 4,827834,19.9,13.4,3.5,0.0
EV-0000053,CL-0000053,TR,Teleorman,Alexandria,609011,21.2,0.5,0.0,0.09
EV-0000054,CL-0000054,AR,Arad,Arad,390465,1.8,11.7,1.2,0.0
EV-0000055,CL-0000055,AR,Arad,Arad,390465,20.6,8.4,2.3,0.0
EV-0000056,CL-0000056,BC,Bacau,Onesti,595035,1.9,5.3,9.0,1.39
EV-0000057,CL-0000057,CL,Calarasi,Calarasi,321341,-0.4,2.1,1.2,0.0
EV-0000058,CL-0000058,CL,Calarasi,Calarasi,321341,5.0,4.2,1.5,0.0
EV-0000059,CL-0000059,SB,Sibiu,Sibiu,173723,29.8,9.4,4.6,0.23
EV-0000060,CL-0000060,SB,Sibiu,Sibiu,173723,4.2,17.5,4.2,0.0
EV-0000061,CL-0000061,PH,Prahova,Ploiesti,298903,20.5,9.2,3.1,0.0
EV-0000062,CL-0000062,BH,Bihor,Alesd,164162,0.8,8.8,4.3,0.03
EV-0000063,CL-0000063,SJ,Salaj,Zalau,549447,-4.3,8.3,4.5,0.0
EV-0000064,CL-0000064,SJ,Salaj,Zalau,549447,25.2,5.7,4.6,0.0
EV-0000065,CL-0000065,BZB,Bucuresti,Sector 3,997143,12.8,1.9,3.3,0.37
EV-0000066,CL-0000066,VN,Vrancea,Adjud,755155,-8.8,4.0,5.1,0.0
EV-0000067,CL-0000067,BZB,Bucuresti,Sector 4,966513,-0.2,10.3,0.7,0.07
EV-0000068,CL-0000068,CJ,Cluj,Cluj-Napoca,218113,32.0,2.3,3.5,0.0
EV-0000069,CL-0000069,SB,Sibiu,Sibiu,894026,9.6,2.9,7.6,0.38
EV-0000070,CL-0000070,CS,Caras-Severin,Caransebes,930878,18.2,32.0,2.3,0.0
EV-0000071,CL-0000071,BH,Bihor,Oradea,946961,-8.4,1.1,7.9,0.0
EV-0000072,CL-0000072,BH,Bihor,Oradea,946961,16.5,15.4,1.8,0.0
EV-0000073,CL-0000073,IS,Iasi,Iasi,715992,-2.0,3.6,1.4,0.21
EV-0000074,CL-0000074,BZB,Bucuresti,Sector 1,322569,0.7,5.9,2.3,0.0
EV-0000075,CL-0000075,SB,Sibiu,Medias,782280,19.0,11.8,3.6,0.0
EV-0000076,CL-0000076,IF,Ilfov,Otopeni,644239,22.8,17.0,5.6,0.46
EV-0000077,CL-0000077,BZB,Bucuresti,Sector 6,142197,-0.1,6.0,3.5,0.09
EV-0000078,CL-0000078,VS,Vaslui,Barlad,391670,-0.4,7.8,1.8,0.0
EV-0000079,CL-0000079,AB,Alba,Aiud,375611,9.3,1.9,5.1,0.17
EV-0000080,CL-0000080,CT,Constanta,Constanta,796544,3.1,4.8,3.8,0.0
EV-0000081,CL-0000081,AR,Arad,Arad,765037,-4.0,6.3,5.1,0.1
EV-0000082,CL-0000082,BH,Bihor,Alesd,589119,7.4,1.4,2.6,0.0
EV-0000083,CL-0000083,BV,Brasov,Fagaras,301797,1.7,3.9,6.2,0.0
EV-0000084,CL-0000084,BZB,Bucuresti,Sector 1,653140,24.3,3.3,0.3,0.0
EV-0000085,CL-0000085,BN,Bistrita-Nasaud,Nasaud,178416,20.1,1.7,2.2,0.11
EV-0000086,CL-0000086,GL,Galati,Galati,133355,10.7,0.8,3.9,0.09
EV-0000087,CL-0000087,BH,Bihor,Oradea,529288,5.8,0.8,6.1,0.0
EV-0000088,CL-0000088,MH,Mehedinti,Drobeta-Turnu Severin,568507,11.2,5.7,6.7,1.05
EV-0000089,CL-0000089,BZB,Bucuresti,Sector 4,756301,3.9,3.1,1.5,0.96
EV-0000090,CL-0000090,BZB,Bucuresti,Sector 4,756301,6.3,24.6,8.2,1.42
EV-0000091,CL-0000091,GJ,Gorj,Targu Jiu,941150,-13.4,4.1,5.7,0.0
EV-0000092,CL-0000092,CT,Constanta,Constanta,132347,1.6,2.9,7.2,0.01
EV-0000093,CL-0000093,DB,Dambovita,Targoviste,679246,2.2,6.0,0.8,0.0
EV-0000094,CL-0000094,BH,Bihor,Oradea,872113,5.6,17.8,3.3,0.0
EV-0000095,CL-0000095,SB,Sibiu,Sibiu,972418,16.6,2.9,3.1,0.38
EV-0000096,CL-0000096,AG,Arges,Pitesti,801596,-3.9,8.5,4.7,0.0
EV-0000097,CL-0000097,DB,Dambovita,Targoviste,998940,11.7,1.9,2.4,0.0
EV-0000098,CL-0000098,CT,Constanta,Constanta,501863,16.4,8.5,7.9,0.43
EV-0000099,CL-0000099,CT,Constanta,Constanta,501863,18.6,1.5,5.3,0.0
EV-0000100,CL-0000100,CT,Constanta,Constanta,501863,7.5,3.3,2.3,0.18
EV-0000101,CL-0000101,BZB,Bucuresti,Sector 4,323771,5.6,9.8,4.5,0.01
EV-0000102,CL-0000102,CT,Constanta,Mangalia,489351,19.2,1.8,8.6,0.0
EV-0000103,CL-0000103,DJ,Dolj,Craiova,880268,13.6,0.8,4.3,0.19
EV-0000104,CL-0000104,AG,Arges,Campulung,647558,16.6,7.0,1.8,0.0
EV-0000105,CL-0000105,MM,Maramures,Sighetu Marmatiei,378362,10.2,17.9,4.0,0.06
EV-0000106,CL-0000106,GJ,Gorj,Motru,714223,13.0,6.6,4.9,1.25
EV-0000107,CL-0000107,GJ,Gorj,Motru,714223,-12.2,5.1,3.7,0.0
EV-0000108,CL-0000108,BZB,Bucuresti,Sector 1,981340,20.6,5.1,6.1,0.37
EV-0000109,CL-0000109,SJ,Salaj,Zalau,496001,-6.0,2.1,1.6,0.0
EV-0000110,CL-0000110,CJ,Cluj,Dej,194578,31.2,0.9,2.9,0.19
EV-0000111,CL-0000111,BZB,Bucuresti,Sector 2,613705,-1.8,3.0,3.7,0.1
EV-0000112,CL-0000112,BZ,Buzau,Ramnicul Sarat,864868,-1.5,8.2,3.0,0.0
EV-0000113,CL-0000113,TM,Timis,Timisoara,227107,32.9,20.4,2.3,0.0
EV-0000114,CL-0000114,IF,Ilfov,Otopeni,388149,15.6,6.4,2.3,0.04
EV-0000115,CL-0000115,IF,Ilfov,Otopeni,388149,8.6,4.2,0.9,0.0
EV-0000116,CL-0000116,BC,Bacau,Onesti,781028,13.4,16.5,5.9,0.0
EV-0000117,CL-0000117,BZB,Bucuresti,Sector 6,818952,11.3,3.9,2.5,0.11
EV-0000118,CL-0000118,BZB,Bucuresti,Sector 6,818952,23.4,8.9,3.5,0.2
EV-0000119,CL-0000119,BZB,Bucuresti,Sector 3,326035,-3.5,4.3,2.8,0.47
EV-0000120,CL-0000120,BZB,Bucuresti,Sector 3,326035,-0.6,13.7,1.8,0.23
EV-0000121,CL-0000121,SB,Sibiu,Sibiu,994981,33.2,5.5,3.1,0.06
EV-0000122,CL-0000122,TM,Timis,Sannicolau Mare,312088,5.1,15.1,0.0,0.28
EV-0000123,CL-0000123,BT,Botosani,Dorohoi,404860,9.0,3.1,0.0,0.0
EV-0000124,CL-0000124,BV,Brasov,Brasov,461205,13.9,2.0,0.0,0.0
EV-0000125,CL-0000125,DJ,Dolj,Craiova,738816,18.4,2.8,2.1,0.0
EV-0000126,CL-0000126,CT,Constanta,Constanta,652595,11.0,4.2,8.0,0.42
EV-0000127,CL-0000127,TM,Timis,Timisoara,754572,9.5,12.0,3.0,0.44
EV-0000128,CL-0000128,SB,Sibiu,Medias,736834,25.2,2.9,1.6,1.66
EV-0000129,CL-0000129,BZB,Bucuresti,Sector 5,756360,20.0,5.6,3.1,0.19
EV-0000130,CL-0000130,BZB,Bucuresti,Sector 5,756360,0.2,9.0,7.7,0.0
EV-0000131,CL-0000131,CJ,Cluj,Cluj-Napoca,798670,35.1,24.2,5.2,0.07
EV-0000132,CL-0000132,BT,Botosani,Dorohoi,476231,-9.0,8.9,3.6,0.65
EV-0000133,CL-0000133,BT,Botosani,Dorohoi,476231,-3.3,4.5,1.4,0.19
EV-0000134,CL-0000134,IF,Ilfov,Voluntari,954796,26.0,12.7,3.8,0.21
EV-0000135,CL-0000135,IF,Ilfov,Voluntari,954796,1.8,12.4,4.2,0.0
EV-0000136,CL-0000136,IF,Ilfov,Voluntari,954796,20.7,3.1,0.0,0.0
EV-0000137,CL-0000137,AG,Arges,Campulung,187198,21.4,4.7,6.7,0.0
EV-0000138,CL-0000138,CJ,Cluj,Turda,105739,8.9,0.9,3.4,0.03
EV-0000139,CL-0000139,BZ,Buzau,Ramnicul Sarat,523997,1.4,10.8,1.2,0.25
EV-0000140,CL-0000140,AG,Arges,Pitesti,652078,21.6,19.6,4.3,1.27
EV-0000141,CL-0000141,BH,Bihor,Oradea,798994,-9.0,14.0,4.2,1.32
EV-0000142,CL-0000142,GL,Galati,Tecuci,384023,0.5,8.3,2.1,0.0
EV-0000143,CL-0000143,DJ,Dolj,Bailesti,987513,6.8,6.3,1.7,0.0
EV-0000144,CL-0000144,CJ,Cluj,Dej,307671,1.0,7.5,3.9,0.38
EV-0000145,CL-0000145,DB,Dambovita,Targoviste,882814,14.3,29.7,5.9,1.88
EV-0000146,CL-0000146,AG,Arges,Pitesti,395566,8.5,3.5,5.7,0.07
EV-0000147,CL-0000147,CT,Constanta,Medgidia,917627,23.9,3.7,3.5,0.0
EV-0000148,CL-0000148,SV,Suceava,Suceava,633602,4.8,4.4,4.6,0.0
EV-0000149,CL-0000149,BT,Botosani,Botosani,498477,-6.4,12.2,3.5,0.0
EV-0000150,CL-0000150,BT,Botosani,Botosani,498477,9.0,7.1,3.7,0.31
EV-0000151,CL-0000151,IS,Iasi,Pascani,355669,19.3,9.7,4.0,0.42
EV-0000152,CL-0000152,TL,Tulcea,Tulcea,197853,-6.6,11.6,7.4,1.36
EV-0000153,CL-0000153,AB,Alba,Aiud,245580,12.1,3.7,4.3,0.0
EV-0000154,CL-0000154,SM,Satu Mare,Satu Mare,788403,8.7,2.8,2.9,0.01
EV-0000155,CL-0000155,IS,Iasi,Pascani,166093,7.1,2.1,4.9,0.0
EV-0000156,CL-0000156,NT,Neamt,Piatra Neamt,455573,3.6,7.9,2.6,0.0
EV-0000157,CL-0000157,BZB,Bucuresti,Sector 5,260807,0.7,16.1,5.7,0.0
EV-0000158,CL-0000158,TM,Timis,Timisoara,179579,15.0,16.0,6.1,0.0
EV-0000159,CL-0000159,CJ,Cluj,Cluj-Napoca,514890,-1.6,8.9,3.9,0.0
EV-0000160,CL-0000160,MS,Mures,Reghin,441140,4.8,16.2,7.6,2.06
EV-0000161,CL-0000161,VS,Vaslui,Vaslui,919950,23.3,2.6,0.0,0.0
EV-0000162,CL-0000162,HD,Hunedoara,Deva,301346,-5.1,26.0,3.1,0.0
EV-0000163,CL-0000163,BV,Brasov,Sacele,719643,2.2,5.7,3.6,0.0
EV-0000164,CL-0000164,CT,Constanta,Mangalia,287829,19.6,16.2,5.0,0.0
EV-0000165,CL-0000165,HR,Harghita,Odorheiu Secuiesc,496441,-1.0,9.2,4.9,0.0
EV-0000166,CL-0000166,VN,Vrancea,Adjud,834310,22.7,9.4,3.4,0.0
EV-0000167,CL-0000167,DJ,Dolj,Craiova,880268,9.1,9.1,0.0,0.0
EV-0000168,CL-0000168,CJ,Cluj,Cluj-Napoca,430960,15.8,8.1,4.1,0.0
EV-0000169,CL-0000169,MS,Mures,Reghin,336692,13.2,2.6,3.7,0.04
EV-0000170,CL-0000170,DJ,Dolj,Craiova,284987,-1.5,4.1,6.9,0.0
EV-0000171,CL-0000171,AR,Arad,Ineu,510350,13.1,2.2,4.7,0.0
EV-0000172,CL-0000172,AR,Arad,Ineu,510350,7.3,19.4,4.0,0.0
EV-0000173,CL-0000173,TM,Timis,Timisoara,601575,-3.2,10.3,0.0,0.09
EV-0000174,CL-0000174,PH,Prahova,Sinaia,723678,4.7,15.7,0.0,0.0
EV-0000175,CL-0000175,CJ,Cluj,Turda,139469,9.7,7.9,8.3,0.0
EV-0000176,CL-0000176,TM,Timis,Sannicolau Mare,472260,20.6,4.4,4.8,0.17
EV-0000177,CL-0000177,IS,Iasi,Pascani,488246,14.5,10.6,4.0,0.0
EV-0000178,CL-0000178,PH,Prahova,Sinaia,530818,-7.7,3.7,5.3,0.25
EV-0000179,CL-0000179,BT,Botosani,Botosani,194307,16.4,4.7,3.8,0.07
EV-0000180,CL-0000180,BT,Botosani,Botosani,194307,-7.1,5.6,0.0,0.01
EV-0000181,CL-0000181,BV,Brasov,Brasov,202478,24.3,1.3,5.5,0.0
EV-0000182,CL-0000182,TM,Timis,Sannicolau Mare,328003,25.4,0.5,4.2,0.0
EV-0000183,CL-0000183,DB,Dambovita,Gaesti,250474,25.3,8.4,4.9,0.0
EV-0000184,CL-0000184,HD,Hunedoara,Deva,740862,11.2,5.7,0.0,0.04
EV-0000185,CL-0000185,CS,Caras-Severin,Caransebes,365181,2.9,11.6,6.8,0.33
EV-0000186,CL-0000186,SB,Sibiu,Medias,651572,-6.9,5.9,2.3,0.22
EV-0000187,CL-0000187,SV,Suceava,Falticeni,896960,5.3,27.6,4.6,0.2
EV-0000188,CL-0000188,TM,Timis,Timisoara,192540,11.5,6.9,4.4,0.0
EV-0000189,CL-0000189,BZB,Bucuresti,Sector 6,311660,20.4,4.1,3.2,0.0
EV-0000190,CL-0000190,CJ,Cluj,Dej,542520,10.2,2.4,3.9,0.06
EV-0000191,CL-0000191,GJ,Gorj,Targu Jiu,653042,4.3,9.0,3.6,0.37
EV-0000192,CL-0000192,SV,Suceava,Falticeni,558012,5.0,4.2,2.5,0.0
EV-0000193,CL-0000193,HD,Hunedoara,Hunedoara,126548,6.7,11.8,2.0,0.17
EV-0000194,CL-0000194,BZB,Bucuresti,Sector 1,240290,-6.3,6.5,3.7,0.36
EV-0000195,CL-0000195,SB,Sibiu,Sibiu,273113,19.1,2.0,1.2,0.02
EV-0000196,CL-0000196,CL,Calarasi,Calarasi,119734,31.2,21.6,2.2,0.0
EV-0000197,CL-0000197,IF,Ilfov,Voluntari,502852,-7.0,3.8,6.9,0.0
EV-0000198,CL-0000198,IF,Ilfov,Voluntari,502852,-4.3,4.6,3.1,0.5
EV-0000199,CL-0000199,BZB,Bucuresti,Sector 3,467774,28.9,11.6,1.3,2.01
EV-0000200,CL-0000200,BV,Brasov,Brasov,855140,20.8,5.7,4.8,0.1
EV-0000201,CL-0000201,BZB,Bucuresti,Sector 5,683487,28.4,11.3,4.1,0.0
EV-0000202,CL-0000202,BC,Bacau,Bacau,368036,-6.6,10.1,1.9,0.19
EV-0000203,CL-0000203,CL,Calarasi,Calarasi,896274,24.0,18.2,2.9,0.0
EV-0000204,CL-0000204,BC,Bacau,Bacau,419210,13.8,8.8,3.9,0.32
EV-0000205,CL-0000205,DJ,Dolj,Bailesti,709079,11.6,2.3,2.5,0.0
EV-0000206,CL-0000206,BH,Bihor,Salonta,412315,18.7,4.3,2.7,0.0
EV-0000207,CL-0000207,BH,Bihor,Salonta,412315,-7.5,7.1,4.4,0.03
EV-0000208,CL-0000208,BZB,Bucuresti,Sector 4,759214,6.6,11.5,7.7,0.0
EV-0000209,CL-0000209,BZB,Bucuresti,Sector 4,759214,7.0,0.7,5.1,0.0
EV-0000210,CL-0000210,VS,Vaslui,Vaslui,440673,6.2,4.1,5.0,0.26
EV-0000211,CL-0000211,CT,Constanta,Mangalia,647866,14.6,0.7,3.5,0.12
EV-0000212,CL-0000212,DB,Dambovita,Gaesti,997681,24.1,6.3,6.3,0.49
EV-0000213,CL-0000213,BH,Bihor,Salonta,991168,20.5,6.7,0.8,0.22
EV-0000214,CL-0000214,BH,Bihor,Salonta,991168,21.1,0.2,2.9,0.0
EV-0000215,CL-0000215,BZB,Bucuresti,Sector 6,327086,13.1,28.2,5.4,1.66
EV-0000216,CL-0000216,GJ,Gorj,Targu Jiu,818544,13.5,8.8,4.5,0.0
EV-0000217,CL-0000217,GJ,Gorj,Targu Jiu,818544,20.5,16.0,10.8,0.0
EV-0000218,CL-0000218,GJ,Gorj,Targu Jiu,818544,-8.9,4.3,1.3,0.34
EV-0000219,CL-0000219,BH,Bihor,Salonta,669444,12.3,8.1,1.6,0.0
EV-0000220,CL-0000220,AG,Arges,Campulung,619158,6.4,7.4,1.7,0.26
EV-0000221,CL-0000221,TM,Timis,Lugoj,404526,8.5,3.5,3.8,0.03
EV-0000222,CL-0000222,VL,Valcea,Ramnicu Valcea,372844,6.2,13.9,7.0,1.69
EV-0000223,CL-0000223,BZB,Bucuresti,Sector 5,725297,14.4,15.9,4.5,0.09
EV-0000224,CL-0000224,BZB,Bucuresti,Sector 5,798219,28.1,2.1,4.1,0.1
EV-0000225,CL-0000225,CS,Caras-Severin,Caransebes,930878,23.6,7.6,6.8,0.0
EV-0000226,CL-0000226,BZB,Bucuresti,Sector 5,356961,10.4,5.9,5.0,1.19
EV-0000227,CL-0000227,SV,Suceava,Radauti,881611,12.2,3.2,3.5,0.0
EV-0000228,CL-0000228,VL,Valcea,Ramnicu Valcea,649336,4.7,5.1,5.8,0.17
EV-0000229,CL-0000229,CJ,Cluj,Turda,508906,-0.9,2.2,4.4,0.0
EV-0000230,CL-0000230,CJ,Cluj,Turda,508906,12.1,1.6,5.8,0.0
EV-0000231,CL-0000231,IF,Ilfov,Otopeni,608378,22.6,1.7,4.9,0.0
EV-0000232,CL-0000232,CT,Constanta,Medgidia,114241,11.1,10.6,4.9,0.01
EV-0000233,CL-0000233,BC,Bacau,Moinesti,339266,10.3,5.1,5.9,1.65
EV-0000234,CL-0000234,BC,Bacau,Moinesti,339266,19.7,4.8,0.0,0.68
EV-0000235,CL-0000235,CJ,Cluj,Dej,225214,24.7,8.9,0.0,0.0
EV-0000236,CL-0000236,SB,Sibiu,Sibiu,338460,8.2,13.1,2.6,0.0
EV-0000237,CL-0000237,TM,Timis,Timisoara,328936,27.6,7.9,4.9,0.27
EV-0000238,CL-0000238,VN,Vrancea,Focsani,107427,8.1,3.0,2.4,0.54
EV-0000239,CL-0000239,BZB,Bucuresti,Sector 1,955313,31.9,13.5,5.3,0.0
EV-0000240,CL-0000240,SV,Suceava,Falticeni,373973,19.8,9.3,3.7,0.0
EV-0000241,CL-0000241,VL,Valcea,Dragasani,712494,15.6,5.1,4.4,1.12
EV-0000242,CL-0000242,BZB,Bucuresti,Sector 1,990759,20.5,23.1,1.9,0.15
EV-0000243,CL-0000243,VL,Valcea,Ramnicu Valcea,125638,1.0,6.8,5.4,0.35
EV-0000244,CL-0000244,CJ,Cluj,Turda,166045,6.5,24.5,1.9,0.29
EV-0000245,CL-0000245,CT,Constanta,Constanta,563798,8.4,3.2,7.2,0.0
EV-0000246,CL-0000246,TM,Timis,Timisoara,824351,1.1,15.6,4.4,0.33
EV-0000247,CL-0000247,CJ,Cluj,Turda,281625,-1.2,9.0,2.8,0.68
EV-0000248,CL-0000248,CJ,Cluj,Turda,281625,7.4,14.0,3.9,0.95
EV-0000249,CL-0000249,BZB,Bucuresti,Sector 6,372307,-4.3,1.6,0.0,0.0
EV-0000250,CL-0000250,BT,Botosani,Dorohoi,486289,8.4,8.6,4.6,1.2
EV-0000251,CL-0000251,AG,Arges,Pitesti,686858,1.0,17.4,2.6,0.07
EV-0000252,CL-0000252,GL,Galati,Galati,273497,6.8,16.4,2.8,1.0
EV-0000253,CL-0000253,GL,Galati,Galati,273497,14.1,3.3,0.6,0.18
EV-0000254,CL-0000254,BT,Botosani,Botosani,957023,6.0,2.0,4.9,0.16
EV-0000255,CL-0000255,BT,Botosani,Botosani,957023,2.4,4.1,0.7,0.0
EV-0000256,CL-0000256,BT,Botosani,Botosani,957023,10.8,13.7,5.1,0.0
EV-0000257,CL-0000257,CT,Constanta,Constanta,870981,9.3,3.7,9.6,0.08
EV-0000258,CL-0000258,AG,Arges,Pitesti,749542,19.6,3.5,0.9,0.0
EV-0000259,CL-0000259,CJ,Cluj,Dej,128472,-9.7,6.8,3.8,0.18
EV-0000260,CL-0000260,PH,Prahova,Campina,594945,20.5,4.1,2.8,0.0
EV-0000261,CL-0000261,PH,Prahova,Campina,515639,6.1,2.2,5.1,0.07
EV-0000262,CL-0000262,CT,Constanta,Medgidia,603925,-3.3,8.8,5.4,0.0
EV-0000263,CL-0000263,GL,Galati,Galati,922084,9.1,10.1,5.1,0.0
EV-0000264,CL-0000264,BZ,Buzau,Ramnicul Sarat,823753,-1.4,3.7,5.2,0.0
EV-0000265,CL-0000265,CS,Caras-Severin,Resita,951578,20.5,6.2,2.6,0.22
EV-0000266,CL-0000266,MM,Maramures,Baia Mare,764574,23.4,8.3,4.6,0.0
EV-0000267,CL-0000267,BZB,Bucuresti,Sector 2,515187,-0.5,9.3,3.3,1.36
EV-0000268,CL-0000268,TM,Timis,Sannicolau Mare,885667,29.6,1.7,7.6,0.0
EV-0000269,CL-0000269,AB,Alba,Aiud,245580,8.8,18.2,2.2,0.1
EV-0000270,CL-0000270,BH,Bihor,Alesd,780384,-2.1,7.1,2.4,0.0
EV-0000271,CL-0000271,AG,Arges,Campulung,131340,8.7,3.2,4.0,0.21
EV-0000272,CL-0000272,IS,Iasi,Pascani,459554,32.2,5.5,2.3,0.0
EV-0000273,CL-0000273,BC,Bacau,Onesti,693367,12.5,6.0,4.4,0.0
EV-0000274,CL-0000274,BC,Bacau,Onesti,693367,-4.9,2.5,4.0,0.49
EV-0000275,CL-0000275,BC,Bacau,Onesti,693367,-11.3,13.6,4.3,0.17
EV-0000276,CL-0000276,IF,Ilfov,Chitila,176666,-3.9,10.8,0.0,0.0
EV-0000277,CL-0000277,BV,Brasov,Fagaras,897005,9.2,11.0,0.7,0.07
EV-0000278,CL-0000278,CJ,Cluj,Turda,703274,22.1,7.2,2.8,0.0
EV-0000279,CL-0000279,CJ,Cluj,Turda,703274,2.9,5.4,0.5,0.05
EV-0000280,CL-0000280,CJ,Cluj,Turda,703274,17.5,3.8,0.7,0.0
EV-0000281,CL-0000281,TM,Timis,Lugoj,554312,-4.6,2.2,7.2,0.38
EV-0000282,CL-0000282,VN,Vrancea,Focsani,459908,4.2,5.9,4.3,0.0
EV-0000283,CL-0000283,BZB,Bucuresti,Sector 1,193529,22.1,1.7,2.6,0.0
EV-0000284,CL-0000284,SM,Satu Mare,Satu Mare,631365,21.1,11.4,5.3,0.0
EV-0000285,CL-0000285,VL,Valcea,Ramnicu Valcea,743208,3.2,11.0,1.2,0.0
EV-0000286,CL-0000286,MM,Maramures,Sighetu Marmatiei,833828,-8.5,2.6,5.1,0.02
EV-0000287,CL-0000287,VL,Valcea,Dragasani,688634,-5.1,5.5,6.2,0.0
EV-0000288,CL-0000288,PH,Prahova,Ploiesti,406461,-4.5,10.2,2.8,0.14
EV-0000289,CL-0000289,BC,Bacau,Bacau,115093,18.2,3.0,5.9,1.35
EV-0000290,CL-0000290,IS,Iasi,Pascani,231075,9.7,4.4,1.7,0.0
