property_id,policy_id,year_built,construction,area_sqm,floors,has_alarm,replacement_cost,location_type,sprinkler_grade,building_value,contents_value
H-000158,P-000158,1992.0,brick,116.0,2.0,True,69923.15,,,,
H-000159,P-000159,1975.0,concrete,122.0,1.0,True,124854.85,,,,
C-000161,P-000161,,,,,,,warehouse,C,551327.48,2372518.05
H-000166,P-000166,1978.0,brick,128.0,2.0,True,86725.42,,,,
H-000169,P-000169,1969.0,concrete,155.0,2.0,False,115521.99,,,,
H-000170,P-000170,2008.0,wood,84.0,2.0,True,77432.74,,,,
C-000172,P-000172,,,,,,,office,C,2166856.93,1768075.94
C-000173,P-000173,,,,,,,office,A,3112590.42,167280.65
H-000176,P-000176,1982.0,concrete,103.0,2.0,True,115321.04,,,,
H-000177,P-000177,1991.0,brick,123.0,2.0,False,111875.56,,,,
H-000179,P-000179,1996.0,concrete,57.0,1.0,False,48918.32,,,,
H-000183,P-000183,1988.0,concrete,92.0,2.0,False,78547.63,,,,
H-000184,P-000184,1978.0,concrete,102.0,1.0,True,98820.49,,,,
H-000187,P-000187,1992.0,concrete,175.0,1.0,False,178239.35,,,,
H-000189,P-000189,2012.0,brick,106.0,2.0,False,93594.66,,,,
H-000199,P-000199,1977.0,brick,149.0,1.0,False,113921.56,,,,
C-000201,P-000201,,,,,,,warehouse,A,2796355.51,338255.97
H-000205,P-000205,2010.0,brick,44.0,2.0,False,39227.49,,,,
H-000206,P-000206,1978.0,brick,100.0,3.0,True,90668.03,,,,
H-000210,P-000210,1986.0,brick,95.0,1.0,False,90041.09,,,,
H-000215,P-000215,2009.0,concrete,133.0,2.0,True,108844.98,,,,
C-000217,P-000217,,,,,,,factory,C,604597.64,1274646.57
C-000219,P-000219,,,,,,,factory,C,279750.39,1930233.37
H-000222,P-000222,2018.0,brick,132.0,1.0,False,80523.81,,,,
H-000223,P-000223,2011.0,brick,89.0,1.0,True,68920.6,,,,
H-000224,P-000224,2006.0,brick,143.0,2.0,False,173673.57,,,,
H-000225,P-000225,1966.0,brick,110.0,2.0,True,100737.99,,,,
C-000233,P-000233,,,,,,,factory,A,4733208.21,477889.39
H-000241,P-000241,1976.0,brick,180.0,1.0,True,163667.63,,,,
C-000242,P-000242,,,,,,,warehouse,C,2033927.25,882158.29
H-000246,P-000246,1995.0,concrete,135.0,1.0,True,127011.6,,,,
H-000247,P-000247,1972.0,brick,58.0,2.0,False,44983.34,,,,
H-000248,P-000248,2009.0,brick,140.0,1.0,True,158267.67,,,,
H-000249,P-000249,2020.0,brick,59.0,2.0,True,60999.16,,,,
C-000250,P-000250,,,,,,,factory,None,4990011.78,2265479.83
H-000260,P-000260,2015.0,brick,131.0,3.0,False,141122.33,,,,
H-000261,P-000261,2001.0,concrete,62.0,2.0,False,64263.52,,,,
H-000262,P-000262,2022.0,brick,192.0,1.0,True,136081.51,,,,
H-000264,P-000264,2016.0,concrete,124.0,2.0,True,116877.45,,,,
C-000265,P-000265,,,,,,,office,B,799387.97,623471.56
H-000268,P-000268,2002.0,brick,169.0,1.0,True,153268.77,,,,
H-000273,P-000273,1969.0,brick,134.0,1.0,False,126337.51,,,,
H-000275,P-000275,2020.0,brick,139.0,3.0,True,116340.78,,,,
H-000277,P-000277,1965.0,wood,103.0,3.0,False,72570.35,,,,
C-000280,P-000280,,,,,,,warehouse,A,3860277.63,2059575.92
H-000282,P-000282,1982.0,concrete,108.0,2.0,True,93057.99,,,,
H-000283,P-000283,2009.0,brick,158.0,1.0,True,147635.33,,,,
H-000289,P-000289,2010.0,brick,132.0,1.0,True,110460.14,,,,
H-000291,P-000291,2021.0,wood,57.0,2.0,True,46625.43,,,,
H-000294,P-000294,1992.0,brick,106.0,1.0,True,94967.34,,,,
C-000296,P-000296,,,,,,,factory,B,2904205.8,2095582.46
C-000301,P-000301,,,,,,,office,B,2209998.94,302357.14
C-000302,P-000302,,,,,,,office,B,1872431.85,426701.84
C-000303,P-000303,,,,,,,warehouse,B,3871934.42,675245.21
H-000304,P-000304,1986.0,concrete,43.0,2.0,False,27578.34,,,,
C-000310,P-000310,,,,,,,office,B,670552.95,2427979.47
H-000311,P-000311,2005.0,concrete,180.0,3.0,False,159694.67,,,,
C-000312,P-000312,,,,,,,factory,A,4539473.42,2316212.74
H-000313,P-000313,2015.0,brick,150.0,2.0,False,150207.82,,,,
C-000314,P-000314,,,,,,,office,B,2073036.23,629950.82
H-000315,P-000315,2013.0,brick,87.0,1.0,False,62992.88,,,,
H-000317,P-000317,1993.0,concrete,131.0,1.0,True,125745.12,,,,
C-000318,P-000318,,,,,,,warehouse,C,2104358.04,1582268.28
H-000320,P-000320,2011.0,brick,55.0,1.0,True,48967.58,,,,
C-000326,P-000326,,,,,,,warehouse,A,673037.12,2026373.67
H-000329,P-000329,1987.0,brick,94.0,2.0,True,87433.57,,,,
C-000330,P-000330,,,,,,,warehouse,B,1243896.03,1288615.23
H-000331,P-000331,1984.0,brick,124.0,1.0,True,139923.98,,,,
H-000332,P-000332,2019.0,brick,85.0,1.0,False,89106.02,,,,
H-000333,P-000333,1975.0,concrete,180.0,1.0,True,200620.82,,,,
H-000334,P-000334,1970.0,brick,129.0,1.0,True,77723.76,,,,
H-000337,P-000337,2005.0,concrete,93.0,2.0,False,70417.69,,,,
H-000340,P-000340,1985.0,concrete,130.0,1.0,True,128922.73,,,,
H-000345,P-000345,1970.0,brick,75.0,1.0,True,76611.6,,,,
H-000347,P-000347,2015.0,brick,118.0,1.0,True,102182.01,,,,
C-000348,P-000348,,,,,,,warehouse,C,4919952.94,2237462.31
H-000349,P-000349,2020.0,brick,150.0,2.0,False,158819.95,,,,
H-000350,P-000350,1996.0,concrete,114.0,3.0,False,92675.38,,,,
H-000353,P-000353,1969.0,brick,56.0,1.0,False,48334.27,,,,
H-000354,P-000354,2000.0,concrete,142.0,2.0,True,141686.5,,,,
H-000356,P-000356,1982.0,brick,100.0,1.0,False,114045.95,,,,
C-000357,P-000357,,,,,,,warehouse,B,1063989.22,1667061.37
C-000358,P-000358,,,,,,,retail,C,897822.27,1246691.24
C-000359,P-000359,,,,,,,office,B,887938.72,747720.41
C-000360,P-000360,,,,,,,warehouse,B,1510349.89,2223700.0
H-000361,P-000361,1982.0,concrete,85.0,2.0,True,81053.69,,,,
H-000362,P-000362,1999.0,brick,119.0,1.0,True,111250.82,,,,
H-000364,P-000364,1971.0,brick,75.0,2.0,True,78244.77,,,,
H-000376,P-000376,1979.0,brick,74.0,1.0,True,68674.37,,,,
C-000379,P-000379,,,,,,,retail,C,841198.75,1420767.28
H-000382,P-000382,1972.0,concrete,40.0,1.0,False,33144.01,,,,
H-000386,P-000386,1975.0,concrete,159.0,2.0,False,150380.02,,,,
H-000389,P-000389,1985.0,brick,117.0,1.0,True,70956.75,,,,
H-000390,P-000390,2021.0,brick,41.0,2.0,False,34314.49,,,,
C-000391,P-000391,,,,,,,retail,C,428272.45,2413526.04
H-000392,P-000392,1996.0,concrete,162.0,1.0,False,146856.28,,,,
H-000395,P-000395,1967.0,brick,104.0,2.0,False,106407.61,,,,
C-000397,P-000397,,,,,,,factory,C,3841821.64,2165369.16
H-000400,P-000400,2002.0,concrete,97.0,1.0,False,83177.59,,,,
H-000401,P-000401,1999.0,brick,111.0,2.0,False,91947.54,,,,
H-000402,P-000402,1978.0,concrete,145.0,1.0,False,136720.53,,,,
C-000406,P-000406,,,,,,,office,C,963473.15,368355.03
H-000407,P-000407,2012.0,concrete,104.0,1.0,False,120909.33,,,,
H-000409,P-000409,1997.0,concrete,152.0,2.0,True,146555.53,,,,
H-000413,P-000413,1988.0,wood,117.0,1.0,True,76386.07,,,,
H-000415,P-000415,2011.0,concrete,104.0,1.0,False,85339.08,,,,
H-000416,P-000416,1996.0,brick,111.0,3.0,False,126393.42,,,,
H-000421,P-000421,1966.0,concrete,162.0,2.0,False,140120.91,,,,
H-000424,P-000424,2001.0,concrete,70.0,2.0,False,65239.96,,,,
H-000427,P-000427,1997.0,wood,63.0,2.0,False,56849.57,,,,
H-000430,P-000430,1986.0,brick,90.0,1.0,True,57612.42,,,,
H-000432,P-000432,2019.0,brick,157.0,1.0,True,121654.95,,,,
H-000434,P-000434,1990.0,wood,138.0,2.0,True,128137.19,,,,
H-000436,P-000436,2013.0,brick,90.0,1.0,True,88265.22,,,,
C-000437,P-000437,,,,,,,warehouse,B,3942225.25,1779237.26
C-000439,P-000439,,,,,,,warehouse,B,4276807.56,2319027.06
H-000441,P-000441,1974.0,concrete,134.0,2.0,False,144039.88,,,,
C-000443,P-000443,,,,,,,warehouse,None,2287702.53,1773412.32
H-000444,P-000444,1988.0,brick,128.0,1.0,False,92581.39,,,,
H-000446,P-000446,2013.0,brick,198.0,3.0,False,207002.24,,,,
C-000447,P-000447,,,,,,,office,None,671081.52,832247.57
H-000448,P-000448,2020.0,brick,132.0,2.0,True,111471.88,,,,
H-000454,P-000454,1982.0,wood,96.0,3.0,False,93330.74,,,,
H-000457,P-000457,2006.0,concrete,40.0,2.0,False,32782.51,,,,
H-000458,P-000458,1991.0,brick,80.0,1.0,True,59173.02,,,,
H-000459,P-000459,1988.0,brick,146.0,1.0,True,150995.12,,,,
H-000460,P-000460,1965.0,concrete,137.0,1.0,True,134622.86,,,,
H-000463,P-000463,1990.0,brick,105.0,1.0,False,65229.9,,,,
H-000465,P-000465,2004.0,brick,124.0,3.0,True,94029.05,,,,
H-000468,P-000468,1997.0,brick,97.0,2.0,True,87948.09,,,,
H-000473,P-000473,2007.0,concrete,160.0,2.0,True,157212.19,,,,
H-000475,P-000475,2000.0,brick,138.0,1.0,True,124056.43,,,,
C-000481,P-000481,,,,,,,warehouse,C,4751487.44,2198398.53
H-000486,P-000486,1966.0,concrete,158.0,1.0,True,186643.48,,,,
C-000491,P-000491,,,,,,,office,A,1539706.26,1648194.85
H-000492,P-000492,1999.0,concrete,77.0,1.0,True,78712.43,,,,
C-000494,P-000494,,,,,,,warehouse,A,4171384.65,1332525.24
C-000496,P-000496,,,,,,,retail,B,4815331.21,378907.27
C-000498,P-000498,,,,,,,warehouse,None,4609484.35,2319563.24
H-000504,P-000504,2005.0,brick,88.0,2.0,False,50500.62,,,,
H-000506,P-000506,2009.0,brick,84.0,3.0,True,75181.73,,,,
C-000507,P-000507,,,,,,,warehouse,B,403931.02,1357443.35
H-000511,P-000511,1984.0,brick,89.0,1.0,False,64943.45,,,,
H-000512,P-000512,1986.0,brick,72.0,1.0,True,82575.88,,,,
C-000513,P-000513,,,,,,,office,B,2335786.72,2108311.9
H-000515,P-000515,2019.0,concrete,123.0,2.0,True,88534.54,,,,
H-000517,P-000517,1990.0,brick,65.0,2.0,False,56126.09,,,,
H-000518,P-000518,1967.0,concrete,89.0,1.0,True,106074.36,,,,
H-000519,P-000519,2020.0,brick,113.0,1.0,True,93902.6,,,,
H-000526,P-000526,1981.0,concrete,124.0,1.0,False,151872.98,,,,
C-000527,P-000527,,,,,,,warehouse,B,178982.26,2244192.58
H-000528,P-000528,1993.0,concrete,92.0,1.0,True,83960.33,,,,
H-000529,P-000529,1967.0,concrete,57.0,1.0,False,53627.95,,,,
H-000530,P-000530,1967.0,brick,178.0,1.0,False,219143.49,,,,
C-000531,P-000531,,,,,,,office,None,961171.91,1014341.75
H-000537,P-000537,2022.0,brick,84.0,2.0,False,90066.52,,,,
H-000541,P-000541,1988.0,brick,135.0,1.0,False,109257.45,,,,
H-000542,P-000542,2011.0,brick,70.0,2.0,False,81457.71,,,,
C-000543,P-000543,,,,,,,warehouse,C,1455867.86,1217503.87
H-000545,P-000545,1986.0,brick,135.0,1.0,True,104545.27,,,,
C-000547,P-000547,,,,,,,factory,B,4234218.65,220314.78
C-000552,P-000552,,,,,,,retail,None,907199.47,2306447.95
C-000554,P-000554,,,,,,,office,A,3484845.75,1290498.96
H-000557,P-000557,2003.0,brick,159.0,2.0,True,134821.5,,,,
H-000558,P-000558,2007.0,brick,182.0,1.0,False,151177.42,,,,
C-000559,P-000559,,,,,,,warehouse,B,4868107.26,747890.6
H-000561,P-000561,1972.0,brick,134.0,2.0,True,116940.17,,,,
H-000562,P-000562,2018.0,brick,118.0,2.0,True,111394.91,,,,
H-000563,P-000563,2019.0,brick,42.0,1.0,False,47802.72,,,,
C-000564,P-000564,,,,,,,office,B,2021284.91,2267518.38
C-000565,P-000565,,,,,,,warehouse,B,4318782.5,313488.09
H-000566,P-000566,2005.0,concrete,106.0,2.0,True,63217.63,,,,
H-000569,P-000569,1985.0,concrete,120.0,1.0,True,138603.64,,,,
H-000571,P-000571,2020.0,brick,72.0,2.0,False,60259.88,,,,
C-000572,P-000572,,,,,,,office,None,4770783.43,1977556.28
H-000573,P-000573,2019.0,brick,123.0,1.0,True,96823.1,,,,
H-000574,P-000574,2001.0,brick,146.0,1.0,True,167353.6,,,,
H-000575,P-000575,1984.0,brick,92.0,1.0,True,69966.74,,,,
H-000576,P-000576,1984.0,concrete,112.0,2.0,True,74297.69,,,,
H-000577,P-000577,1970.0,concrete,114.0,2.0,True,108899.28,,,,
H-000580,P-000580,2004.0,concrete,107.0,1.0,True,73417.53,,,,
H-000583,P-000583,2007.0,concrete,123.0,2.0,True,108320.19,,,,
H-000590,P-000590,1999.0,concrete,131.0,1.0,True,74125.92,,,,
C-000595,P-000595,,,,,,,warehouse,C,1291433.63,594792.58
H-000600,P-000600,1967.0,wood,174.0,1.0,True,109688.25,,,,
H-000601,P-000601,1992.0,concrete,58.0,2.0,False,67588.76,,,,
H-000603,P-000603,1973.0,concrete,71.0,1.0,True,52261.94,,,,
C-000616,P-000616,,,,,,,factory,A,4098142.72,2240126.64
C-000617,P-000617,,,,,,,retail,A,2316985.17,653540.91
H-000619,P-000619,1974.0,brick,89.0,1.0,True,95838.42,,,,
H-000620,P-000620,2004.0,brick,139.0,1.0,True,98178.66,,,,
H-000627,P-000627,2000.0,brick,119.0,1.0,True,90576.28,,,,
C-000628,P-000628,,,,,,,warehouse,C,3971446.28,1940081.6
H-000632,P-000632,2006.0,brick,154.0,1.0,False,158174.36,,,,
H-000636,P-000636,2005.0,brick,121.0,2.0,True,100342.83,,,,
H-000638,P-000638,1986.0,concrete,108.0,2.0,True,98416.05,,,,
H-000640,P-000640,2022.0,concrete,97.0,2.0,True,110330.95,,,,
H-000641,P-000641,1995.0,brick,157.0,1.0,True,134059.95,,,,
C-000645,P-000645,,,,,,,warehouse,C,4259470.17,773570.92
H-000646,P-000646,2010.0,brick,79.0,2.0,True,97407.59,,,,
H-000647,P-000647,1972.0,concrete,135.0,2.0,True,125554.2,,,,
C-000649,P-000649,,,,,,,warehouse,B,4606945.23,1853900.04
H-000651,P-000651,1969.0,brick,166.0,1.0,False,130316.97,,,,
H-000652,P-000652,1993.0,brick,65.0,2.0,False,58550.01,,,,
C-000654,P-000654,,,,,,,office,C,3759168.15,611038.46
H-000655,P-000655,1984.0,concrete,85.0,2.0,True,76578.15,,,,
H-000658,P-000658,1990.0,wood,66.0,3.0,False,74911.51,,,,
C-000661,P-000661,,,,,,,factory,None,4004501.96,333255.32
H-000667,P-000667,1977.0,concrete,63.0,1.0,False,77400.24,,,,
H-000668,P-000668,2023.0,concrete,41.0,1.0,True,33088.42,,,,
H-000670,P-000670,2015.0,concrete,107.0,1.0,True,73645.82,,,,
H-000671,P-000671,2020.0,concrete,67.0,2.0,True,84852.36,,,,
H-000672,P-000672,2016.0,concrete,140.0,2.0,False,126280.19,,,,
C-000675,P-000675,,,,,,,office,C,3289711.77,2310731.28
H-000677,P-000677,2007.0,brick,149.0,2.0,False,104583.55,,,,
C-000678,P-000678,,,,,,,factory,C,625768.88,1193324.8
C-000680,P-000680,,,,,,,factory,None,1709119.58,2310844.46
C-000696,P-000696,,,,,,,warehouse,B,4721388.63,1482591.13
H-000699,P-000699,1996.0,concrete,142.0,2.0,True,142388.51,,,,
H-000707,P-000707,2015.0,brick,120.0,1.0,False,148990.27,,,,
C-000709,P-000709,,,,,,,office,B,4328426.5,82950.51
H-000710,P-000710,1974.0,concrete,107.0,1.0,False,79138.55,,,,
C-000712,P-000712,,,,,,,office,C,507343.85,226743.47
H-000720,P-000720,1995.0,brick,120.0,2.0,False,121185.61,,,,
H-000721,P-000721,2010.0,concrete,40.0,2.0,False,27134.2,,,,
C-000722,P-000722,,,,,,,warehouse,B,696839.81,1398530.41
H-000723,P-000723,1991.0,brick,75.0,1.0,False,74289.84,,,,
H-000729,P-000729,1986.0,concrete,69.0,1.0,True,53489.46,,,,
H-000733,P-000733,2009.0,concrete,64.0,1.0,False,72596.55,,,,
H-000735,P-000735,1999.0,brick,130.0,1.0,True,98000.59,,,,
H-000736,P-000736,1977.0,concrete,112.0,2.0,False,73674.57,,,,
C-000738,P-000738,,,,,,,warehouse,None,3341206.82,1061511.56
C-000739,P-000739,,,,,,,warehouse,None,2145524.07,1687937.39
C-000740,P-000740,,,,,,,warehouse,B,4162537.22,2062737.41
C-000741,P-000741,,,,,,,office,C,4382294.9,890659.45
H-000746,P-000746,2022.0,concrete,119.0,3.0,False,115771.24,,,,
H-000757,P-000757,2005.0,brick,99.0,1.0,True,122503.83,,,,
C-000759,P-000759,,,,,,,factory,C,2969054.24,1463444.2
C-000760,P-000760,,,,,,,office,B,1687306.87,2313425.59
H-000761,P-000761,2009.0,brick,110.0,3.0,True,99512.15,,,,
H-000765,P-000765,1974.0,brick,92.0,1.0,True,64923.5,,,,
H-000766,P-000766,1989.0,brick,117.0,1.0,False,97194.14,,,,
H-000770,P-000770,1982.0,brick,78.0,3.0,True,96517.19,,,,
H-000771,P-000771,1999.0,wood,164.0,1.0,False,127979.42,,,,
H-000773,P-000773,1998.0,brick,124.0,2.0,True,114337.63,,,,
C-000777,P-000777,,,,,,,factory,B,674092.77,56198.91
H-000778,P-000778,1988.0,brick,106.0,1.0,True,89002.83,,,,
H-000779,P-000779,2000.0,brick,128.0,2.0,True,123369.1,,,,
H-000780,P-000780,2022.0,concrete,75.0,2.0,False,70864.25,,,,
C-000783,P-000783,,,,,,,factory,B,3379017.8,1683427.38
H-000785,P-000785,2003.0,brick,134.0,1.0,False,124739.27,,,,
H-000787,P-000787,1984.0,brick,52.0,2.0,False,47952.02,,,,
C-000788,P-000788,,,,,,,retail,None,4402129.81,1511753.79
H-000789,P-000789,1972.0,wood,136.0,1.0,True,144115.89,,,,
C-000792,P-000792,,,,,,,warehouse,A,533252.08,2077021.86
H-000794,P-000794,1991.0,concrete,45.0,2.0,True,43491.55,,,,
C-000795,P-000795,,,,,,,office,A,130902.43,149986.1
H-000797,P-000797,2002.0,brick,115.0,1.0,True,88719.8,,,,
H-000801,P-000801,1990.0,brick,80.0,1.0,False,77229.78,,,,
H-000802,P-000802,1979.0,brick,149.0,1.0,True,127937.66,,,,
H-000805,P-000805,1998.0,brick,155.0,2.0,False,108122.31,,,,
H-000809,P-000809,1983.0,brick,52.0,2.0,True,53552.14,,,,
H-000817,P-000817,1974.0,concrete,97.0,1.0,False,65955.05,,,,
H-000819,P-000819,2010.0,brick,121.0,2.0,True,106178.1,,,,
C-000821,P-000821,,,,,,,warehouse,B,4905763.87,2096472.58
H-000822,P-000822,1977.0,concrete,122.0,1.0,True,117829.14,,,,
H-000828,P-000828,2015.0,brick,82.0,2.0,True,78133.52,,,,
H-000830,P-000830,1980.0,concrete,77.0,3.0,True,67212.72,,,,
H-000838,P-000838,1970.0,brick,129.0,2.0,False,116556.21,,,,
H-000839,P-000839,1969.0,brick,125.0,2.0,True,74125.42,,,,
H-000840,P-000840,2006.0,concrete,47.0,2.0,True,34945.02,,,,
H-000841,P-000841,2005.0,concrete,149.0,1.0,False,150434.12,,,,
C-000844,P-000844,,,,,,,warehouse,None,968814.28,712999.79
H-000845,P-000845,2022.0,concrete,91.0,1.0,False,80756.12,,,,
H-000847,P-000847,2006.0,concrete,186.0,1.0,True,181514.3,,,,
H-000849,P-000849,1976.0,concrete,75.0,1.0,False,64979.76,,,,
H-000856,P-000856,1989.0,brick,76.0,2.0,False,54235.82,,,,
H-000857,P-000857,1999.0,concrete,109.0,2.0,True,101125.77,,,,
C-000860,P-000860,,,,,,,retail,A,506338.72,889337.62
H-000862,P-000862,2019.0,concrete,156.0,4.0,True,116891.46,,,,
C-000863,P-000863,,,,,,,warehouse,None,843697.64,1539772.21
H-000865,P-000865,2004.0,concrete,85.0,1.0,True,86387.78,,,,
H-000867,P-000867,2012.0,brick,87.0,1.0,True,88608.16,,,,
H-000873,P-000873,1975.0,concrete,60.0,2.0,False,40404.22,,,,
C-000874,P-000874,,,,,,,warehouse,A,3460103.44,670850.49
C-000875,P-000875,,,,,,,retail,None,1742513.92,2005420.06
H-000878,P-000878,1981.0,concrete,51.0,2.0,True,59495.19,,,,
H-000879,P-000879,2013.0,concrete,111.0,2.0,True,87976.17,,,,
H-000881,P-000881,1969.0,brick,73.0,1.0,False,66335.36,,,,
H-000884,P-000884,1967.0,brick,108.0,4.0,False,123264.85,,,,
H-000887,P-000887,1972.0,brick,143.0,1.0,True,142992.93,,,,
H-000889,P-000889,1989.0,concrete,142.0,1.0,True,127423.45,,,,
C-000893,P-000893,,,,,,,factory,B,2614201.97,161121.68
H-000897,P-000897,1983.0,brick,146.0,2.0,True,126322.59,,,,
C-000902,P-000902,,,,,,,office,None,4604975.65,2202348.95
C-000903,P-000903,,,,,,,factory,C,4203250.55,732237.18
H-000904,P-000904,2018.0,brick,116.0,1.0,False,106734.13,,,,
H-000914,P-000914,1997.0,brick,83.0,3.0,True,83789.24,,,,
C-000915,P-000915,,,,,,,retail,A,4287535.48,2155109.89
H-000916,P-000916,1991.0,brick,42.0,3.0,True,31877.83,,,,
C-000917,P-000917,,,,,,,warehouse,None,182288.15,423623.68
H-000918,P-000918,1981.0,concrete,131.0,3.0,True,148677.2,,,,
H-000923,P-000923,1995.0,concrete,62.0,2.0,True,47639.83,,,,
H-000927,P-000927,2016.0,wood,60.0,2.0,False,50206.7,,,,
H-000929,P-000929,1989.0,concrete,115.0,2.0,True,113861.61,,,,
H-000930,P-000930,2008.0,concrete,84.0,1.0,False,79361.05,,,,
H-000931,P-000931,1991.0,concrete,59.0,1.0,True,64155.37,,,,
H-000932,P-000932,1969.0,concrete,123.0,2.0,True,84890.21,,,,
C-000934,P-000934,,,,,,,warehouse,B,2198259.87,167873.04
H-000935,P-000935,1987.0,brick,134.0,2.0,True,124776.76,,,,
C-000937,P-000937,,,,,,,retail,B,841130.76,2035183.62
C-000939,P-000939,,,,,,,office,C,3915206.21,2484546.34
H-000940,P-000940,2010.0,brick,117.0,2.0,False,109651.74,,,,
H-000942,P-000942,1983.0,brick,40.0,1.0,False,39564.08,,,,
H-000947,P-000947,2006.0,concrete,125.0,1.0,False,92051.03,,,,
H-000950,P-000950,2003.0,brick,156.0,1.0,True,133205.02,,,,
