policy_id,customer_id,product_type,start_date,end_date,status,channel,discount_pct,gross_premium
P-000033,C-003098,commercial_property,2024-01-05,2024-11-15,active,agent,0.046,1376.3
P-000034,C-000396,auto,2024-05-26,2025-04-24,active,agent,0.003,514.03
P-000035,C-002293,homeowners,2024-11-24,2025-11-02,active,online,0.14,347.19
P-000036,C-004343,auto,2024-06-23,2025-11-18,active,online,0.096,302.35
P-000037,C-000873,renters,2024-02-14,2024-09-19,active,agent,0.103,162.01
P-000038,C-000124,homeowners,2024-03-31,2024-12-19,active,online,0.114,384.72
P-000039,C-001876,auto,2024-07-03,2025-10-24,active,agent,0.0,268.56
P-000040,C-007048,auto,2024-03-27,2024-11-06,active,agent,0.014,420.76
P-000041,C-000485,homeowners,2024-07-22,2025-10-22,cancelled,agent,0.047,305.63
P-000042,C-005339,homeowners,2024-01-10,2025-05-26,active,online,0.03,313.83
P-000043,C-002874,renters,2024-12-21,2025-11-19,active,agent,0.063,102.23
P-000044,C-002356,commercial_property,2024-07-09,2025-12-19,active,agent,0.106,1247.01
P-000045,C-002690,auto,2024-06-11,2025-02-14,active,partner,0.072,296.84
P-000046,C-002928,homeowners,2024-09-22,2025-11-18,active,partner,0.083,220.43
P-000047,C-003205,homeowners,2024-11-23,2025-07-28,active,agent,0.107,240.14
P-000048,C-003341,homeowners,2024-01-26,2025-03-21,active,agent,0.011,350.17
P-000049,C-004325,auto,2024-11-14,2025-05-30,active,agent,0.0,328.07
P-000050,C-005595,homeowners,2024-07-01,2025-01-11,active,online,0.053,252.65
P-000051,C-004886,auto,2024-12-20,2026-01-02,active,partner,0.087,304.3
P-000052,C-003434,auto,2024-02-02,2025-01-04,active,online,0.06,351.15
P-000053,C-003322,homeowners,2024-12-18,2025-06-24,active,agent,0.107,310.48
P-000054,C-002063,homeowners,2024-10-20,2025-09-12,active,online,0.083,341.06
P-000055,C-005889,homeowners,2024-11-29,2026-04-17,active,agent,0.021,243.88
P-000056,C-004982,auto,2024-03-15,2025-07-21,cancelled,online,0.024,474.19
P-000057,C-001847,commercial_property,2024-06-01,2025-04-06,cancelled,agent,0.03,2574.29
P-000058,C-003748,homeowners,2024-08-05,2025-02-15,active,agent,0.0,230.85
P-000059,C-000149,auto,2024-10-21,2025-11-05,active,agent,0.047,436.17
P-000060,C-002030,renters,2024-09-20,2026-02-14,active,agent,0.048,101.08
P-000061,C-001807,auto,2024-08-14,2025-12-29,active,agent,0.087,422.01
P-000062,C-003282,auto,2024-04-10,2024-11-08,active,agent,0.019,272.11
P-000063,C-000415,renters,2024-04-10,2025-09-16,active,agent,0.095,159.55
P-000064,C-004718,homeowners,2024-05-17,2025-03-24,active,agent,0.05,351.95
P-000065,C-005260,auto,2024-06-13,2025-11-29,cancelled,partner,0.041,482.21
P-000066,C-003932,homeowners,2024-06-08,2025-07-04,active,agent,0.092,270.56
P-000067,C-003148,auto,2024-09-27,2025-09-05,active,agent,0.014,417.17
P-000068,C-000532,homeowners,2024-03-05,2025-08-15,active,agent,0.06,230.53
P-000069,C-003547,homeowners,2024-04-17,2025-05-03,lapsed,agent,0.023,308.29
P-000070,C-005852,auto,2024-02-04,2024-08-24,active,agent,0.024,452.05
P-000071,C-000150,renters,2024-01-06,2024-11-26,active,agent,0.003,171.34
P-000072,C-001074,auto,2024-07-31,2025-02-06,active,agent,0.015,356.07
P-000073,C-001670,auto,2024-04-19,2025-06-30,active,agent,0.048,301.85
P-000074,C-004601,auto,2024-12-11,2025-08-07,cancelled,online,0.027,389.71
P-000075,C-002047,homeowners,2024-06-16,2025-01-24,active,online,0.086,354.13
P-000076,C-006296,auto,2024-02-23,2025-04-05,cancelled,agent,0.026,369.11
P-000077,C-003735,auto,2024-09-08,2025-08-13,active,partner,0.066,417.37
P-000078,C-002393,homeowners,2024-03-07,2025-03-21,active,online,0.066,360.17
P-000079,C-002968,commercial_property,2024-04-13,2025-07-26,active,online,0.018,5125.65
P-000080,C-002792,homeowners,2024-04-17,2025-03-31,lapsed,online,0.023,444.36
P-000081,C-003211,homeowners,2024-09-30,2025-12-21,active,agent,0.03,324.91
P-000082,C-001749,homeowners,2024-02-09,2025-04-17,active,online,0.028,336.5
P-000083,C-001523,homeowners,2024-08-27,2025-11-13,active,online,0.061,413.82
P-000084,C-002254,renters,2024-03-07,2024-11-20,active,agent,0.074,127.22
P-000085,C-002391,homeowners,2024-01-03,2025-03-18,active,online,0.024,336.41
P-000086,C-006555,commercial_property,2024-12-23,2025-11-25,active,agent,0.054,3824.03
P-000087,C-002402,commercial_property,2024-01-25,2025-07-02,active,online,0.053,1672.57
P-000088,C-004462,homeowners,2024-07-20,2025-09-02,active,online,0.042,295.47
P-000089,C-003149,auto,2024-10-15,2025-08-18,active,agent,0.062,464.77
P-000090,C-004191,commercial_property,2024-05-12,2025-06-20,active,agent,0.069,3109.12
P-000091,C-006432,auto,2024-01-28,2025-07-04,active,agent,0.053,352.48
P-000092,C-003136,auto,2024-04-10,2025-06-09,active,partner,0.0,314.78
P-000093,C-006308,auto,2024-01-08,2024-08-17,cancelled,agent,0.016,303.76
P-000094,C-002968,commercial_property,2024-06-05,2025-01-02,lapsed,agent,0.015,3165.19
P-000095,C-006997,renters,2024-11-12,2025-06-18,active,partner,0.032,135.75
P-000096,C-002370,auto,2024-07-27,2025-10-09,active,agent,0.04,302.67
P-000097,C-006462,auto,2024-11-12,2026-02-28,active,partner,0.037,383.73
P-000098,C-006845,auto,2024-12-25,2025-11-19,active,online,0.089,249.81
P-000099,C-004132,commercial_property,2024-05-25,2025-10-14,active,online,0.0,2149.51
P-000100,C-002299,auto,2024-07-23,2025-02-02,active,agent,0.084,349.83
P-000101,C-003131,auto,2024-02-25,2024-12-04,active,online,0.089,262.13
P-000102,C-004896,homeowners,2024-11-17,2025-07-31,active,online,0.09,351.18
P-000103,C-001525,auto,2024-11-16,2025-08-25,active,online,0.08,400.15
P-000104,C-003513,auto,2024-10-14,2025-05-19,active,agent,0.039,467.37
P-000105,C-005253,homeowners,2024-12-01,2025-07-18,active,agent,0.089,219.24
P-000106,C-004738,homeowners,2024-09-16,2025-05-09,active,agent,0.071,325.47
P-000107,C-004995,auto,2024-06-04,2025-09-17,active,online,0.091,298.08
P-000108,C-000090,auto,2024-07-28,2025-07-30,active,agent,0.0,432.9
P-000109,C-002918,auto,2024-06-10,2025-05-09,active,agent,0.059,337.26
P-000110,C-003857,renters,2024-10-16,2025-09-01,active,agent,0.063,139.24
P-000111,C-007149,commercial_property,2024-03-19,2025-08-21,active,agent,0.045,3465.84
P-000112,C-000464,auto,2024-06-17,2025-10-01,active,agent,0.131,327.72
P-000113,C-000208,renters,2024-04-08,2025-08-10,cancelled,agent,0.05,101.38
P-000114,C-006674,renters,2024-08-05,2025-05-18,active,agent,0.107,148.27
P-000115,C-004834,renters,2024-05-09,2024-12-26,active,agent,0.016,173.3
P-000116,C-002484,commercial_property,2024-02-05,2025-02-23,active,partner,0.015,2196.39
P-000117,C-001576,commercial_property,2024-03-05,2025-08-12,active,agent,0.069,2324.34
P-000118,C-004447,auto,2024-06-26,2025-01-07,lapsed,online,0.09,512.94
P-000119,C-006003,auto,2024-01-22,2024-08-27,active,online,0.11,370.13
P-000120,C-004095,auto,2024-01-03,2024-12-21,active,partner,0.0,398.82
P-000121,C-004545,homeowners,2024-12-21,2026-04-02,lapsed,online,0.051,345.12
P-000122,C-001765,auto,2024-03-03,2025-03-17,lapsed,agent,0.099,318.9
P-000123,C-005359,homeowners,2024-08-23,2025-05-17,lapsed,partner,0.11,292.86
P-000124,C-001635,auto,2024-04-24,2024-12-07,active,online,0.128,263.69
P-000125,C-001880,auto,2024-08-14,2025-05-28,active,partner,0.001,400.08
P-000126,C-004458,homeowners,2024-01-07,2025-01-07,active,online,0.003,218.09
P-000127,C-004185,renters,2024-02-27,2025-04-27,active,online,0.09,92.1
P-000128,C-006549,renters,2024-08-02,2025-08-14,active,agent,0.116,146.06
P-000129,C-004611,commercial_property,2024-04-12,2025-04-24,active,agent,0.052,1234.5
P-000130,C-003707,auto,2024-12-24,2026-01-11,active,agent,0.021,452.17
P-000131,C-005174,homeowners,2024-01-17,2024-12-07,active,online,0.077,475.39
P-000132,C-006847,homeowners,2024-06-02,2025-07-13,lapsed,agent,0.061,305.2
P-000133,C-004855,homeowners,2024-08-30,2025-06-28,active,agent,0.069,473.53
P-000134,C-006076,auto,2024-02-28,2025-02-05,active,agent,0.099,373.64
P-000135,C-001874,auto,2024-07-19,2025-02-25,active,agent,0.016,306.66
P-000136,C-002321,homeowners,2024-10-24,2025-12-24,active,agent,0.02,245.27
P-000137,C-004834,commercial_property,2024-08-15,2025-06-23,active,online,0.019,4221.41
P-000138,C-000436,renters,2024-10-09,2025-10-22,active,agent,0.064,173.55
P-000139,C-006393,homeowners,2024-11-25,2025-11-02,active,online,0.069,350.94
P-000140,C-002380,homeowners,2024-05-27,2025-02-23,active,agent,0.045,352.6
P-000141,C-006982,auto,2024-07-25,2025-02-07,active,online,0.0,393.58
P-000142,C-002143,homeowners,2024-09-17,2025-08-09,active,agent,0.018,358.78
P-000143,C-002620,homeowners,2024-06-18,2025-08-03,active,online,0.0,458.1
P-000144,C-001512,auto,2024-07-04,2025-11-27,lapsed,agent,0.114,554.5
P-000145,C-002948,commercial_property,2024-11-02,2025-10-19,active,agent,0.068,5349.26
P-000146,C-002243,auto,2024-06-04,2025-05-20,active,agent,0.072,418.25
P-000147,C-002355,auto,2024-04-10,2025-08-02,active,online,0.06,363.23
P-000148,C-000611,homeowners,2024-04-22,2025-03-18,cancelled,online,0.083,274.35
P-000149,C-005605,commercial_property,2024-02-02,2024-12-19,active,agent,0.067,3728.43
P-000150,C-003128,auto,2024-06-09,2025-01-02,cancelled,partner,0.029,494.41
P-000151,C-003142,homeowners,2024-06-07,2025-05-07,active,agent,0.071,284.73
P-000152,C-003113,auto,2024-03-30,2025-04-11,active,online,0.036,335.73
P-000153,C-000329,auto,2024-10-10,2026-01-07,active,agent,0.013,521.2
P-000154,C-006664,auto,2024-03-05,2025-05-01,active,partner,0.129,497.5
P-000155,C-005319,renters,2024-03-13,2024-10-26,active,online,0.026,107.22
P-000156,C-006201,auto,2024-08-13,2025-06-02,active,agent,0.063,380.58
P-000157,C-006358,homeowners,2024-06-21,2025-08-14,active,online,0.053,320.57
P-000158,C-002868,homeowners,2024-01-28,2024-12-12,active,online,0.049,281.86
P-000159,C-004977,homeowners,2024-01-20,2024-12-06,active,agent,0.016,379.27
P-000160,C-003057,auto,2024-02-17,2025-01-27,active,agent,0.122,407.94
P-000161,C-000301,commercial_property,2024-03-30,2025-09-08,active,agent,0.072,1967.78
P-000162,C-006588,auto,2024-07-08,2025-04-25,active,online,0.082,259.3
P-000163,C-001052,auto,2024-09-19,2025-04-30,active,online,0.046,446.07
P-000164,C-004058,renters,2024-01-28,2024-08-09,active,online,0.063,141.17
P-000165,C-001854,auto,2024-07-19,2025-07-14,active,agent,0.005,598.44
P-000166,C-005939,homeowners,2024-01-16,2024-09-02,active,agent,0.047,305.62
P-000167,C-002944,auto,2024-01-02,2025-02-23,lapsed,agent,0.0,568.87
P-000168,C-002568,auto,2024-04-08,2025-05-12,active,agent,0.083,466.45
P-000169,C-006209,homeowners,2024-12-12,2025-06-10,active,online,0.109,325.77
P-000170,C-000395,homeowners,2024-06-14,2025-04-16,active,agent,0.098,296.45
P-000171,C-005485,auto,2024-01-18,2025-01-02,active,online,0.05,392.65
P-000172,C-005075,commercial_property,2024-01-01,2024-07-23,active,online,0.0,3287.72
P-000173,C-003232,commercial_property,2024-04-23,2024-11-28,active,agent,0.06,2943.92
P-000174,C-003346,auto,2024-01-07,2024-12-12,active,online,0.049,387.58
P-000175,C-004439,renters,2024-12-13,2026-03-21,active,agent,0.108,166.98
P-000176,C-004398,homeowners,2024-06-23,2025-04-21,active,agent,0.027,360.17
P-000177,C-005821,homeowners,2024-02-02,2024-12-11,active,online,0.06,351.18
P-000178,C-003146,renters,2024-10-23,2025-07-18,cancelled,online,0.046,163.32
P-000179,C-005407,homeowners,2024-09-06,2025-12-31,active,agent,0.136,227.77
P-000180,C-002122,renters,2024-04-19,2025-09-22,lapsed,agent,0.098,83.54
P-000181,C-005269,auto,2024-04-09,2025-06-19,active,online,0.05,270.08
P-000182,C-007124,auto,2024-12-20,2025-07-06,lapsed,agent,0.011,478.03
P-000183,C-000710,homeowners,2024-11-23,2026-02-13,lapsed,agent,0.03,298.49
P-000184,C-003803,homeowners,2024-10-28,2025-11-08,lapsed,partner,0.044,329.92
P-000185,C-005329,renters,2024-06-05,2025-05-24,active,online,0.105,134.12
P-000186,C-000030,renters,2024-03-22,2024-11-30,active,online,0.101,93.11
P-000187,C-006444,homeowners,2024-12-25,2025-11-17,active,agent,0.14,414.21
P-000188,C-001155,auto,2024-08-22,2025-08-15,active,agent,0.026,349.84
P-000189,C-000272,homeowners,2024-10-16,2025-08-18,active,agent,0.0,346.36
P-000190,C-000810,auto,2024-06-13,2025-11-30,active,agent,0.095,293.21
P-000191,C-002076,auto,2024-11-09,2025-05-15,active,online,0.041,356.67
P-000192,C-000785,renters,2024-02-08,2025-04-23,lapsed,agent,0.067,168.55
P-000193,C-006642,auto,2024-01-27,2025-03-22,lapsed,online,0.121,338.11
P-000194,C-001007,auto,2024-11-09,2025-12-16,active,agent,0.073,333.35
P-000195,C-002764,auto,2024-09-24,2026-02-04,active,agent,0.144,238.21
P-000196,C-000231,auto,2024-10-15,2025-09-16,active,partner,0.056,272.04
P-000197,C-002684,auto,2024-01-14,2025-03-23,active,online,0.03,332.44
P-000198,C-001846,auto,2024-07-27,2025-04-27,lapsed,partner,0.064,383.38
P-000199,C-004278,homeowners,2024-04-02,2025-01-14,active,agent,0.119,329.63
P-000200,C-004826,renters,2024-09-03,2025-06-02,active,online,0.131,130.51
P-000201,C-003759,commercial_property,2024-12-21,2025-09-30,lapsed,online,0.032,2806.43
P-000202,C-001292,auto,2024-01-29,2025-07-08,active,agent,0.0,429.79
P-000203,C-005959,auto,2024-09-02,2025-12-07,active,agent,0.049,310.7
P-000204,C-004458,auto,2024-01-06,2025-01-31,active,agent,0.038,440.85
P-000205,C-000204,homeowners,2024-07-21,2025-02-03,active,online,0.039,245.77
P-000206,C-006653,homeowners,2024-06-09,2025-06-28,active,agent,0.052,323.16
P-000207,C-004957,renters,2024-09-22,2025-07-08,active,online,0.075,133.8
P-000208,C-005416,auto,2024-05-18,2025-02-23,active,online,0.099,405.2
P-000209,C-002882,renters,2024-11-05,2025-11-28,active,online,0.1,93.25
P-000210,C-006966,homeowners,2024-05-24,2025-08-15,active,online,0.055,302.68
P-000211,C-003276,renters,2024-12-26,2025-08-20,active,online,0.198,147.87
P-000212,C-004112,auto,2024-07-06,2025-01-21,active,agent,0.012,374.97
P-000213,C-003551,auto,2024-09-09,2025-11-11,active,agent,0.126,318.06
P-000214,C-002332,auto,2024-02-24,2025-02-17,active,agent,0.016,323.74
P-000215,C-005763,homeowners,2024-04-23,2025-03-18,active,online,0.019,369.67
P-000216,C-003825,auto,2024-10-25,2025-11-13,cancelled,agent,0.0,442.32
P-000217,C-004053,commercial_property,2024-02-22,2025-04-05,active,agent,0.035,1517.98
P-000218,C-006370,renters,2024-10-12,2026-03-06,active,agent,0.0,144.41
P-000219,C-001779,commercial_property,2024-02-18,2025-06-21,active,agent,0.049,1560.65
P-000220,C-002669,renters,2024-06-25,2025-02-09,active,online,0.0,243.64
P-000221,C-002314,auto,2024-11-21,2025-07-09,active,agent,0.102,423.25
P-000222,C-003872,homeowners,2024-11-12,2025-11-03,active,online,0.0,324.01
P-000223,C-006047,homeowners,2024-05-06,2025-01-23,active,online,0.017,299.42
P-000224,C-001107,homeowners,2024-09-22,2025-05-29,active,online,0.007,465.1
P-000225,C-002850,homeowners,2024-04-09,2025-02-25,active,agent,0.003,346.29
P-000226,C-006037,auto,2024-07-04,2025-02-04,active,agent,0.087,382.17
P-000227,C-005266,auto,2024-05-20,2025-06-29,active,online,0.019,351.93
P-000228,C-006513,auto,2024-10-25,2026-01-18,active,agent,0.061,341.11
P-000229,C-004508,auto,2024-03-01,2024-10-20,lapsed,agent,0.026,517.07
P-000230,C-003450,renters,2024-04-13,2025-06-12,active,online,0.043,181.75
P-000231,C-002067,auto,2024-04-23,2025-01-06,active,agent,0.065,510.51
P-000232,C-006973,auto,2024-08-25,2025-11-11,active,agent,0.038,483.35
P-000233,C-001351,commercial_property,2024-06-25,2025-01-15,active,agent,0.098,4170.17
P-000234,C-005360,auto,2024-10-09,2025-12-24,active,agent,0.052,284.95
P-000235,C-004961,auto,2024-05-09,2025-03-10,active,online,0.085,373.38
P-000236,C-001795,auto,2024-04-21,2025-01-15,active,online,0.084,276.0
P-000237,C-003737,renters,2024-10-01,2025-08-26,active,online,0.056,137.27
P-000238,C-002651,auto,2024-10-21,2025-05-28,active,agent,0.048,508.43
P-000239,C-005345,auto,2024-03-22,2025-05-29,active,online,0.059,485.06
P-000240,C-000524,renters,2024-12-09,2026-04-11,active,online,0.037,99.56
P-000241,C-005216,homeowners,2024-12-30,2026-03-12,active,partner,0.044,438.14
P-000242,C-000909,commercial_property,2024-01-26,2024-11-24,active,agent,0.0,2634.22
P-000243,C-002534,renters,2024-11-29,2025-11-14,active,agent,0.058,169.72
P-000244,C-006433,auto,2024-01-25,2024-09-12,active,agent,0.037,330.3
P-000245,C-007183,auto,2024-08-23,2025-04-16,active,online,0.176,361.86
P-000246,C-002034,homeowners,2024-04-29,2025-08-08,lapsed,agent,0.047,377.92
P-000247,C-006658,homeowners,2024-08-23,2025-04-09,active,agent,0.134,223.44
P-000248,C-006121,homeowners,2024-12-27,2026-06-17,active,agent,0.054,443.69
P-000249,C-003231,homeowners,2024-03-18,2025-07-14,active,online,0.038,276.7
P-000250,C-001885,commercial_property,2024-04-09,2025-02-24,active,agent,0.043,5673.92
P-000251,C-002539,auto,2024-09-13,2025-03-28,active,online,0.0,316.88
P-000252,C-002086,auto,2024-03-18,2024-10-26,active,agent,0.07,364.57
P-000253,C-003145,renters,2024-07-01,2025-12-05,lapsed,agent,0.02,134.24
P-000254,C-006488,renters,2024-05-03,2025-05-15,active,partner,0.055,131.66
P-000255,C-001004,auto,2024-08-27,2025-08-29,active,online,0.09,345.96
P-000256,C-006071,renters,2024-09-22,2026-02-12,active,online,0.08,130.71
P-000257,C-004318,renters,2024-01-01,2024-09-23,active,agent,0.076,129.78
P-000258,C-004828,auto,2024-08-07,2025-02-18,active,partner,0.0,460.26
P-000259,C-006709,auto,2024-12-11,2026-01-20,active,agent,0.065,276.81
P-000260,C-003572,homeowners,2024-05-27,2025-01-14,active,agent,0.133,365.25
P-000261,C-001400,homeowners,2024-07-21,2025-08-25,active,online,0.104,261.87
P-000262,C-003295,homeowners,2024-06-18,2025-02-22,active,partner,0.033,387.91
P-000263,C-005141,auto,2024-12-20,2025-12-11,lapsed,partner,0.0,387.94
P-000264,C-003241,homeowners,2024-10-11,2025-10-19,active,agent,0.058,348.78
P-000265,C-004365,commercial_property,2024-10-13,2025-07-31,active,agent,0.08,1290.5
P-000266,C-005920,auto,2024-02-10,2025-07-04,active,online,0.069,350.85
P-000267,C-001216,auto,2024-07-08,2025-08-22,lapsed,agent,0.045,377.99
P-000268,C-004539,homeowners,2024-08-27,2025-10-12,cancelled,online,0.001,381.88
P-000269,C-003614,auto,2024-08-05,2025-06-23,active,agent,0.051,309.07
P-000270,C-002863,auto,2024-09-07,2025-11-23,active,agent,0.105,368.45
P-000271,C-007071,auto,2024-07-09,2025-08-10,active,online,0.0,390.7
P-000272,C-001900,auto,2024-01-08,2025-05-26,active,online,0.037,537.58
P-000273,C-002189,homeowners,2024-03-12,2025-08-06,active,partner,0.076,365.4
P-000274,C-004799,auto,2024-06-02,2025-06-26,active,online,0.049,352.74
P-000275,C-006870,homeowners,2024-06-23,2025-07-04,active,agent,0.097,344.08
P-000276,C-004542,renters,2024-03-28,2025-02-24,active,agent,0.004,145.74
P-000277,C-003601,homeowners,2024-11-07,2026-04-15,active,online,0.062,293.93
P-000278,C-000091,renters,2024-09-16,2025-10-27,lapsed,agent,0.052,169.49
P-000279,C-006578,auto,2024-03-09,2024-09-22,active,agent,0.079,367.67
P-000280,C-004828,commercial_property,2024-12-03,2026-05-03,active,online,0.011,4745.76
P-000281,C-006875,auto,2024-06-12,2025-11-19,active,online,0.082,354.41
P-000282,C-001443,homeowners,2024-01-04,2025-03-15,active,agent,0.01,329.85
P-000283,C-002592,homeowners,2024-01-27,2025-01-12,active,partner,0.0,465.45
P-000284,C-007087,auto,2024-02-09,2025-01-21,active,partner,0.06,466.97
P-000285,C-005252,auto,2024-04-13,2025-06-06,active,online,0.033,399.19
P-000286,C-005127,auto,2024-04-30,2025-01-15,active,agent,0.086,326.79
P-000287,C-004722,renters,2024-11-17,2026-03-07,active,online,0.053,173.24
P-000288,C-001973,auto,2024-06-15,2025-07-28,lapsed,online,0.037,425.0
P-000289,C-004097,homeowners,2024-11-12,2026-02-01,active,agent,0.156,300.03
P-000290,C-000396,auto,2024-07-07,2025-09-12,lapsed,agent,0.043,391.81
P-000291,C-001683,homeowners,2024-04-23,2025-03-06,active,online,0.011,259.92
P-000292,C-003833,auto,2024-10-31,2025-09-01,active,agent,0.033,544.29
P-000293,C-004127,auto,2024-02-09,2025-03-13,active,agent,0.059,287.53
P-000294,C-003472,homeowners,2024-07-30,2025-03-30,active,agent,0.0,334.0
P-000295,C-000737,renters,2024-11-20,2026-02-13,active,partner,0.07,132.37
P-000296,C-005417,commercial_property,2024-05-07,2025-06-20,active,partner,0.0,4148.55
P-000297,C-005314,renters,2024-11-11,2025-10-16,active,online,0.019,135.26
P-000298,C-003013,auto,2024-08-20,2025-12-27,active,online,0.016,404.82
P-000299,C-006738,auto,2024-06-17,2025-01-05,active,agent,0.012,526.41
P-000300,C-000963,auto,2024-07-17,2025-07-13,active,agent,0.065,327.16
P-000301,C-002137,commercial_property,2024-04-07,2024-12-10,active,online,0.066,2279.6
P-000302,C-003225,commercial_property,2024-01-14,2024-11-24,active,agent,0.044,1879.26
P-000303,C-003052,commercial_property,2024-12-25,2026-01-20,active,agent,0.059,3766.19
P-000304,C-001271,homeowners,2024-08-23,2025-05-19,active,agent,0.066,208.89
P-000305,C-002058,auto,2024-01-17,2025-03-10,active,agent,0.0,354.04
P-000306,C-002386,renters,2024-04-06,2025-01-12,lapsed,agent,0.112,163.31
P-000307,C-002926,renters,2024-09-09,2026-01-07,active,online,0.093,165.13
P-000308,C-002210,auto,2024-01-10,2025-02-09,active,agent,0.088,230.08
P-000309,C-002662,auto,2024-01-30,2024-10-11,cancelled,online,0.084,348.25
P-000310,C-004084,commercial_property,2024-06-23,2025-09-08,active,agent,0.106,1995.33
P-000311,C-007054,homeowners,2024-07-25,2025-04-04,active,agent,0.044,429.54
P-000312,C-005910,commercial_property,2024-08-19,2025-12-24,active,agent,0.075,5021.92
P-000313,C-000152,homeowners,2024-11-22,2025-10-26,cancelled,agent,0.075,428.1
P-000314,C-003073,commercial_property,2024-12-08,2026-01-05,active,agent,0.07,2308.98
P-000315,C-004900,homeowners,2024-06-13,2025-11-24,active,agent,0.056,281.33
P-000316,C-004401,renters,2024-03-08,2024-10-01,active,online,0.0,140.07
P-000317,C-005539,homeowners,2024-05-17,2025-04-07,lapsed,agent,0.0,398.19
P-000318,C-002516,commercial_property,2024-04-16,2025-09-22,active,online,0.01,2925.42
P-000319,C-001163,auto,2024-07-18,2025-02-10,active,agent,0.042,555.87
P-000320,C-001304,homeowners,2024-03-27,2025-08-11,active,partner,0.035,246.5
P-000321,C-003813,auto,2024-10-27,2026-01-03,cancelled,agent,0.078,361.49
P-000322,C-000754,renters,2024-03-13,2024-11-03,active,agent,0.087,164.17
P-000323,C-002354,auto,2024-02-29,2025-04-29,active,agent,0.006,544.96
P-000324,C-005990,auto,2024-09-10,2026-01-08,active,partner,0.0,490.21
P-000325,C-001526,auto,2024-05-03,2025-06-21,lapsed,agent,0.059,461.89
P-000326,C-006031,commercial_property,2024-08-24,2025-05-23,active,agent,0.072,1878.12
P-000327,C-002718,auto,2024-06-28,2025-11-21,active,agent,0.14,298.57
P-000328,C-001393,auto,2024-09-01,2025-06-16,active,agent,0.0,301.11
P-000329,C-001067,homeowners,2024-01-14,2024-07-20,active,agent,0.066,321.34
P-000330,C-000423,commercial_property,2024-02-10,2024-10-07,active,agent,0.063,1957.32
P-000331,C-005562,homeowners,2024-08-27,2025-08-24,cancelled,agent,0.044,426.12
P-000332,C-000024,homeowners,2024-08-14,2025-08-20,active,online,0.05,322.19
P-000333,C-000110,homeowners,2024-03-01,2024-11-01,cancelled,agent,0.068,490.07
P-000334,C-005964,homeowners,2024-10-11,2025-10-19,active,agent,0.0,294.46
P-000335,C-005494,auto,2024-02-14,2025-03-06,active,partner,0.024,482.4
P-000336,C-000532,auto,2024-03-11,2025-08-13,active,online,0.021,528.71
P-000337,C-000567,homeowners,2024-12-05,2025-07-01,active,agent,0.05,284.83
P-000338,C-004517,auto,2024-10-12,2025-07-30,active,agent,0.022,400.36
