vehicle_id,policy_id,make,model,year,annual_mileage,telematics_score,night_driving_pct,hard_brakes_per_100km,overspeed_events_per_100km,phone_use_pct
V-000067,P-000067,Volkswagen,Passat,2015,9646,48.8,0.134,3.3,4.0,0.259
V-000070,P-000070,Volkswagen,Golf,2005,16397,71.9,0.181,3.3,3.9,0.169
V-000072,P-000072,Dacia,Sandero,2013,9348,78.6,0.33,10.4,2.8,0.139
V-000073,P-000073,Dacia,Logan,2007,5965,73.5,0.377,2.1,0.7,0.429
V-000074,P-000074,Dacia,Sandero,2005,12473,76.8,0.324,2.7,1.8,0.541
V-000076,P-000076,Skoda,Superb,2013,9115,64.4,0.214,4.2,2.8,0.557
V-000077,P-000077,Dacia,Duster,2023,16734,85.6,0.053,14.0,0.8,0.138
V-000089,P-000089,Renault,Clio,2023,17710,65.6,0.313,4.3,0.3,0.358
V-000091,P-000091,Skoda,Fabia,2008,7751,64.2,0.185,1.5,0.7,0.657
V-000092,P-000092,Volkswagen,Golf,2009,6134,81.4,0.111,4.9,1.7,0.305
V-000093,P-000093,Toyota,RAV4,2006,6027,80.9,0.203,1.4,10.0,0.433
V-000096,P-000096,Toyota,Corolla,2006,6169,80.0,0.331,7.4,0.3,0.076
V-000097,P-000097,Volkswagen,Golf,2007,10362,65.9,0.04,2.6,1.9,0.26
V-000098,P-000098,Toyota,Corolla,2010,2000,66.1,0.515,2.4,3.6,0.117
V-000100,P-000100,Dacia,Duster,2022,9561,72.6,0.299,5.6,2.8,0.213
V-000101,P-000101,Skoda,Superb,2023,2000,56.1,0.264,2.5,0.8,0.547
V-000103,P-000103,Volkswagen,Golf,2024,14580,74.6,0.091,5.8,0.3,0.443
V-000104,P-000104,Skoda,Fabia,2017,13200,43.4,0.167,0.2,1.5,0.192
V-000107,P-000107,Volkswagen,Golf,2023,5133,67.9,0.188,0.7,0.4,0.017
V-000108,P-000108,Toyota,Corolla,2016,10385,44.6,0.24,12.1,9.5,0.326
V-000109,P-000109,Skoda,Octavia,2016,9665,84.7,0.398,1.5,2.4,0.176
V-000112,P-000112,Skoda,Octavia,2010,8798,65.3,0.213,2.1,0.1,0.127
V-000118,P-000118,Volkswagen,Passat,2007,20948,54.6,0.186,11.5,3.7,0.35
V-000119,P-000119,Skoda,Superb,2017,11372,62.3,0.289,1.6,3.3,0.16
V-000120,P-000120,Volkswagen,Passat,2007,10907,66.4,0.199,3.3,4.1,0.04
V-000122,P-000122,Volkswagen,Passat,2009,9559,90.5,0.52,4.1,0.4,0.733
V-000124,P-000124,Toyota,Yaris,2016,6230,87.3,0.155,3.8,2.6,0.113
V-000125,P-000125,Dacia,Sandero,2017,9855,56.5,0.304,8.4,1.0,0.127
V-000130,P-000130,Toyota,RAV4,2015,14739,62.9,0.144,4.4,7.0,0.246
V-000134,P-000134,Renault,Captur,2011,11255,62.8,0.097,6.9,0.3,0.244
V-000135,P-000135,Volkswagen,Polo,2021,5587,77.6,0.142,1.7,3.8,0.018
V-000141,P-000141,Dacia,Sandero,2010,9198,61.3,0.235,3.9,2.5,0.361
V-000144,P-000144,Volkswagen,Golf,2017,25051,53.8,0.356,4.1,5.2,0.194
V-000146,P-000146,Skoda,Superb,2015,12903,54.2,0.19,4.6,0.9,0.059
V-000147,P-000147,Renault,Clio,2015,12021,84.4,0.623,2.6,2.5,0.249
V-000150,P-000150,Volkswagen,Polo,2011,17495,60.3,0.432,15.1,1.8,0.061
V-000152,P-000152,Renault,Clio,2016,5647,57.1,0.199,4.2,2.1,0.27
V-000153,P-000153,Toyota,Corolla,2012,19679,61.6,0.32,7.0,1.7,0.489
V-000154,P-000154,Skoda,Octavia,2014,23479,66.3,0.675,1.3,0.8,0.206
V-000156,P-000156,Skoda,Fabia,2018,12933,79.6,0.375,6.9,0.6,0.099
V-000160,P-000160,Toyota,Yaris,2019,17432,84.3,0.308,5.7,1.3,0.234
V-000162,P-000162,Toyota,RAV4,2006,2462,64.2,0.576,8.9,0.9,0.284
V-000163,P-000163,Toyota,Corolla,2014,15301,63.8,0.187,2.4,3.2,0.046
V-000165,P-000165,Renault,Clio,2009,21500,49.5,0.199,4.1,5.7,0.441
V-000167,P-000167,Skoda,Octavia,2006,20985,56.4,0.077,1.1,0.1,0.268
V-000168,P-000168,Renault,Megane,2006,19045,66.7,0.159,2.7,3.9,0.238
V-000171,P-000171,Volkswagen,Polo,2007,13051,75.9,0.137,3.0,2.7,0.342
V-000174,P-000174,Skoda,Octavia,2008,10872,66.1,0.397,2.2,1.6,0.407
V-000181,P-000181,Toyota,RAV4,2016,4090,80.6,0.423,6.5,0.6,0.137
V-000182,P-000182,Renault,Captur,2009,15620,57.1,0.542,7.2,1.7,0.347
V-000188,P-000188,Skoda,Superb,2010,9665,77.9,0.697,7.2,3.4,0.143
V-000190,P-000190,Volkswagen,Polo,2006,6812,78.8,0.094,8.7,1.1,0.193
V-000191,P-000191,Toyota,RAV4,2014,8186,61.8,0.485,2.4,1.3,0.192
V-000193,P-000193,Renault,Captur,2021,11602,79.9,0.224,1.6,1.6,0.507
V-000194,P-000194,Toyota,RAV4,2015,9705,79.6,0.197,2.7,1.6,0.3
V-000195,P-000195,Toyota,Yaris,2023,4868,95.6,0.162,3.0,0.3,0.424
V-000196,P-000196,Skoda,Superb,2022,2000,59.2,0.323,3.9,3.2,0.091
V-000197,P-000197,Toyota,Yaris,2012,8168,81.8,0.365,3.2,2.2,0.229
V-000198,P-000198,Dacia,Sandero,2018,13311,79.8,0.265,6.0,4.5,0.214
V-000202,P-000202,Skoda,Superb,2022,11041,56.2,0.294,1.7,2.4,0.307
V-000203,P-000203,Dacia,Sandero,2013,7349,85.3,0.297,2.9,6.9,0.191
V-000204,P-000204,Skoda,Fabia,2021,15248,70.2,0.442,3.8,3.2,0.355
V-000208,P-000208,Volkswagen,Passat,2021,15688,74.7,0.324,2.1,3.8,0.024
V-000212,P-000212,Toyota,Corolla,2009,8723,60.0,0.155,4.3,3.0,0.359
V-000213,P-000213,Volkswagen,Polo,2022,8639,69.2,0.342,1.4,2.8,0.379
V-000214,P-000214,Volkswagen,Polo,2023,8358,88.9,0.167,3.8,3.2,0.426
V-000216,P-000216,Toyota,Corolla,2006,16956,85.4,0.078,2.4,1.5,0.193
V-000221,P-000221,Dacia,Duster,2014,14894,64.5,0.438,0.9,1.3,0.212
V-000226,P-000226,Volkswagen,Polo,2014,12291,64.5,0.226,0.8,1.4,0.311
V-000227,P-000227,Volkswagen,Golf,2013,9712,80.0,0.274,7.3,1.6,0.445
V-000228,P-000228,Toyota,Yaris,2014,8854,70.6,0.33,4.4,1.1,0.145
V-000229,P-000229,Renault,Clio,2012,18786,56.6,0.137,2.3,1.8,0.573
V-000231,P-000231,Volkswagen,Golf,2019,22536,74.3,0.214,1.3,2.1,0.468
V-000232,P-000232,Skoda,Octavia,2022,18793,69.2,0.112,3.3,1.4,0.22
V-000234,P-000234,Dacia,Duster,2017,3800,69.6,0.168,2.7,4.1,0.22
V-000235,P-000235,Skoda,Fabia,2019,10954,64.4,0.132,0.6,1.8,0.372
V-000236,P-000236,Dacia,Duster,2019,2000,49.0,0.166,3.5,1.1,0.184
V-000238,P-000238,Toyota,Yaris,2017,25392,89.7,0.436,3.2,1.7,0.205
V-000239,P-000239,Skoda,Fabia,2014,16363,55.4,0.312,2.1,2.2,0.324
V-000244,P-000244,Volkswagen,Passat,2019,5653,59.0,0.456,7.1,1.1,0.35
V-000245,P-000245,Skoda,Octavia,2017,13543,65.2,0.282,2.0,5.5,0.327
V-000251,P-000251,Toyota,RAV4,2009,7131,85.6,0.28,2.8,3.1,0.257
V-000252,P-000252,Dacia,Sandero,2017,11456,76.2,0.197,0.4,4.5,0.19
V-000255,P-000255,Toyota,Yaris,2017,11243,78.7,0.281,8.8,0.8,0.398
V-000258,P-000258,Toyota,Corolla,2005,15571,72.3,0.456,0.7,1.6,0.359
V-000259,P-000259,Volkswagen,Passat,2009,6546,98.0,0.18,7.3,1.6,0.179
V-000263,P-000263,Dacia,Sandero,2016,8349,54.6,0.421,6.6,4.3,0.079
V-000266,P-000266,Toyota,RAV4,2012,10238,73.2,0.79,1.3,4.1,0.509
V-000267,P-000267,Dacia,Logan,2008,9674,61.1,0.494,2.4,1.2,0.273
V-000269,P-000269,Skoda,Superb,2005,7491,84.5,0.055,9.7,2.8,0.435
V-000270,P-000270,Skoda,Fabia,2023,15662,91.3,0.109,4.8,11.4,0.23
V-000271,P-000271,Skoda,Fabia,2016,11737,79.0,0.786,8.4,0.1,0.296
V-000272,P-000272,Toyota,Yaris,2016,22236,66.0,0.397,5.6,6.7,0.117
V-000274,P-000274,Dacia,Logan,2013,6015,40.1,0.404,2.5,0.7,0.355
V-000279,P-000279,Renault,Clio,2017,9900,61.2,0.112,8.2,2.1,0.288
V-000281,P-000281,Renault,Clio,2020,12807,88.5,0.21,2.4,1.5,0.312
V-000284,P-000284,Toyota,RAV4,2020,17398,63.3,0.357,3.5,0.0,0.526
V-000285,P-000285,Volkswagen,Golf,2017,12677,72.8,0.158,6.5,0.2,0.055
V-000286,P-000286,Dacia,Duster,2009,8345,71.6,0.55,3.0,2.1,0.16
V-000288,P-000288,Toyota,Corolla,2013,14210,67.0,0.219,4.7,3.8,0.125
V-000290,P-000290,Skoda,Fabia,2020,10701,59.3,0.237,6.4,1.1,0.056
V-000292,P-000292,Volkswagen,Golf,2008,22920,65.9,0.089,1.3,3.0,0.166
V-000293,P-000293,Skoda,Superb,2006,4650,74.1,0.604,5.6,1.4,0.221
V-000298,P-000298,Volkswagen,Golf,2008,15409,88.9,0.195,6.3,0.3,0.174
V-000299,P-000299,Toyota,Corolla,2020,20973,73.5,0.349,3.4,1.7,0.08
V-000300,P-000300,Dacia,Sandero,2023,6118,63.8,0.322,1.9,2.9,0.411
V-000305,P-000305,Dacia,Sandero,2008,8412,73.3,0.067,6.1,0.2,0.223
V-000308,P-000308,Skoda,Fabia,2009,2000,90.6,0.136,2.5,1.4,0.173
V-000309,P-000309,Skoda,Octavia,2011,9410,65.9,0.269,4.9,5.9,0.298
V-000319,P-000319,Dacia,Duster,2011,24244,69.6,0.544,9.7,1.7,0.211
V-000321,P-000321,Toyota,Corolla,2008,10951,69.9,0.314,4.2,4.7,0.241
V-000323,P-000323,Dacia,Duster,2005,22378,70.7,0.565,5.4,4.5,0.344
V-000324,P-000324,Toyota,Yaris,2024,15605,51.6,0.391,7.1,1.7,0.26
V-000325,P-000325,Skoda,Superb,2013,15223,53.1,0.494,5.1,2.8,0.378
V-000327,P-000327,Skoda,Fabia,2023,6311,55.7,0.395,2.4,1.7,0.355
V-000328,P-000328,Dacia,Logan,2011,6258,92.3,0.08,6.6,0.7,0.408
V-000335,P-000335,Renault,Megane,2016,18393,74.5,0.296,4.8,3.8,0.162
V-000336,P-000336,Skoda,Octavia,2014,21444,54.0,0.251,13.7,3.4,0.213
V-000338,P-000338,Dacia,Logan,2011,13202,81.3,0.093,5.1,1.4,0.243
V-000339,P-000339,Skoda,Octavia,2005,12878,81.7,0.145,3.3,7.0,0.326
V-000341,P-000341,Dacia,Duster,2016,6124,61.7,0.114,8.6,4.3,0.351
V-000351,P-000351,Skoda,Superb,2010,22646,91.6,0.314,1.8,0.7,0.1
V-000355,P-000355,Skoda,Octavia,2010,9180,67.6,0.21,2.3,1.4,0.35
V-000365,P-000365,Renault,Clio,2015,10024,63.4,0.247,6.6,1.3,0.212
V-000367,P-000367,Renault,Captur,2010,9351,53.5,0.199,0.7,0.3,0.324
V-000368,P-000368,Skoda,Superb,2019,2000,67.8,0.341,5.4,0.7,0.437
V-000371,P-000371,Volkswagen,Passat,2014,18117,63.6,0.555,3.0,0.0,0.363
V-000372,P-000372,Toyota,RAV4,2023,6394,64.8,0.511,12.1,1.1,0.167
V-000373,P-000373,Renault,Megane,2015,16824,82.1,0.265,6.3,4.1,0.119
V-000375,P-000375,Skoda,Octavia,2008,17530,58.8,0.388,1.2,1.0,0.203
V-000377,P-000377,Skoda,Superb,2022,21908,76.4,0.208,12.3,2.8,0.456
V-000380,P-000380,Volkswagen,Golf,2024,9542,51.8,0.38,5.8,1.2,0.342
V-000381,P-000381,Toyota,Corolla,2021,6816,61.3,0.163,6.0,6.0,0.232
V-000383,P-000383,Renault,Clio,2023,20411,66.6,0.376,1.8,2.8,0.374
V-000384,P-000384,Skoda,Octavia,2011,5736,72.7,0.203,3.0,6.3,0.12
V-000385,P-000385,Dacia,Sandero,2016,10405,57.8,0.13,6.8,1.7,0.119
V-000387,P-000387,Dacia,Logan,2023,11634,52.7,0.017,8.3,1.6,0.26
V-000388,P-000388,Renault,Captur,2019,13060,61.5,0.611,7.2,0.9,0.375
V-000393,P-000393,Skoda,Fabia,2010,2000,62.5,0.308,0.9,1.8,0.353
V-000394,P-000394,Dacia,Duster,2024,18037,63.6,0.07,2.4,0.4,0.238
V-000396,P-000396,Dacia,Logan,2014,15185,61.0,0.409,7.0,2.6,0.193
V-000398,P-000398,Renault,Megane,2010,2000,67.3,0.069,6.5,0.3,0.319
V-000399,P-000399,Dacia,Logan,2016,14942,84.6,0.279,4.5,10.4,0.226
V-000403,P-000403,Toyota,Corolla,2021,10514,81.8,0.505,7.4,12.4,0.41
V-000405,P-000405,Volkswagen,Golf,2018,13743,84.3,0.417,9.0,3.8,0.18
V-000408,P-000408,Toyota,Yaris,2012,16254,72.6,0.195,2.4,0.4,0.278
V-000410,P-000410,Skoda,Superb,2007,15794,68.3,0.182,6.8,1.6,0.504
V-000411,P-000411,Volkswagen,Polo,2024,4548,73.1,0.162,3.0,1.4,0.209
V-000412,P-000412,Volkswagen,Golf,2014,13013,72.1,0.572,4.5,11.5,0.297
V-000417,P-000417,Dacia,Logan,2024,2000,75.7,0.177,0.9,0.8,0.214
V-000418,P-000418,Skoda,Fabia,2013,14143,53.2,0.184,3.7,3.3,0.519
V-000419,P-000419,Toyota,RAV4,2012,2000,58.2,0.485,2.9,0.8,0.275
V-000420,P-000420,Skoda,Fabia,2023,6458,70.0,0.136,9.2,0.4,0.323
V-000422,P-000422,Skoda,Fabia,2009,17333,66.2,0.379,0.3,2.2,0.211
V-000423,P-000423,Toyota,RAV4,2019,5565,94.1,0.538,0.5,0.1,0.367
V-000425,P-000425,Renault,Captur,2007,6191,53.1,0.333,2.4,1.9,0.403
V-000426,P-000426,Volkswagen,Polo,2018,10405,70.4,0.403,10.7,1.7,0.366
V-000428,P-000428,Renault,Captur,2022,11681,75.6,0.089,2.2,1.0,0.309
V-000429,P-000429,Dacia,Duster,2015,18735,66.8,0.861,3.8,0.3,0.111
V-000433,P-000433,Skoda,Octavia,2023,3837,78.7,0.125,3.1,0.5,0.154
V-000435,P-000435,Dacia,Logan,2019,10948,73.4,0.199,3.7,0.6,0.108
V-000438,P-000438,Toyota,RAV4,2022,9062,57.4,0.125,5.0,6.7,0.333
V-000440,P-000440,Dacia,Sandero,2015,11084,72.1,0.359,3.9,0.3,0.468
V-000442,P-000442,Renault,Clio,2016,16350,67.0,0.302,0.3,0.7,0.094
V-000445,P-000445,Toyota,RAV4,2013,2000,69.5,0.09,2.1,1.4,0.219
V-000450,P-000450,Toyota,Yaris,2014,13714,73.4,0.133,2.2,0.4,0.059
V-000452,P-000452,Toyota,Yaris,2005,9441,73.0,0.118,5.8,0.8,0.203
V-000455,P-000455,Dacia,Logan,2021,14743,68.6,0.402,10.1,1.8,0.582
V-000456,P-000456,Volkswagen,Golf,2024,2000,71.8,0.1,4.0,0.8,0.306
V-000464,P-000464,Skoda,Fabia,2012,2000,72.0,0.32,1.7,1.8,0.175
V-000466,P-000466,Dacia,Duster,2023,12939,68.7,0.246,5.7,3.3,0.578
V-000467,P-000467,Dacia,Logan,2020,6986,74.9,0.335,9.9,3.6,0.138
V-000470,P-000470,Volkswagen,Golf,2015,12718,52.5,0.299,1.8,0.9,0.498
V-000471,P-000471,Skoda,Fabia,2021,7790,70.2,0.116,4.0,4.6,0.262
V-000472,P-000472,Volkswagen,Passat,2016,18176,51.9,0.031,1.0,3.1,0.348
V-000474,P-000474,Renault,Clio,2010,11763,56.3,0.308,7.0,0.3,0.132
V-000476,P-000476,Skoda,Fabia,2016,19387,62.2,0.529,5.3,0.8,0.068
V-000477,P-000477,Renault,Clio,2010,22421,76.9,0.116,0.9,0.2,0.316
V-000479,P-000479,Dacia,Duster,2018,2000,56.9,0.228,1.8,0.6,0.401
V-000480,P-000480,Renault,Megane,2013,2497,52.2,0.166,1.1,4.6,0.226
V-000482,P-000482,Volkswagen,Golf,2011,28065,69.8,0.208,3.9,2.8,0.679
V-000484,P-000484,Renault,Captur,2024,17175,75.5,0.23,3.2,1.3,0.408
V-000485,P-000485,Toyota,Corolla,2021,20581,79.9,0.136,2.3,0.5,0.152
V-000488,P-000488,Dacia,Duster,2022,6119,58.2,0.659,1.0,0.4,0.23
V-000489,P-000489,Skoda,Superb,2011,10352,69.2,0.226,9.6,0.9,0.402
V-000493,P-000493,Dacia,Duster,2022,6606,64.3,0.28,4.8,3.0,0.056
V-000495,P-000495,Renault,Captur,2017,10320,68.1,0.235,1.6,10.3,0.316
V-000497,P-000497,Dacia,Sandero,2016,19017,87.0,0.144,2.5,4.2,0.391
V-000500,P-000500,Renault,Captur,2022,7387,61.1,0.312,1.3,2.3,0.097
V-000501,P-000501,Dacia,Logan,2013,11914,63.2,0.218,3.1,2.6,0.563
V-000502,P-000502,Dacia,Logan,2013,14791,69.8,0.299,9.4,1.0,0.472
V-000505,P-000505,Renault,Megane,2024,19964,82.7,0.179,4.4,2.8,0.456
V-000508,P-000508,Skoda,Fabia,2012,20421,50.3,0.413,4.4,6.9,0.051
V-000509,P-000509,Dacia,Sandero,2006,20702,90.2,0.247,3.6,0.9,0.523
V-000514,P-000514,Toyota,Yaris,2016,10545,88.8,0.17,3.2,1.2,0.068
V-000520,P-000520,Renault,Captur,2016,13100,57.7,0.056,2.6,2.0,0.54
V-000521,P-000521,Toyota,Yaris,2019,17290,60.0,0.133,6.4,0.4,0.501
V-000522,P-000522,Renault,Clio,2021,8474,60.9,0.502,3.3,1.3,0.343
V-000523,P-000523,Dacia,Sandero,2013,17886,76.6,0.495,5.0,1.0,0.691
V-000524,P-000524,Dacia,Logan,2010,20646,77.7,0.313,5.1,2.6,0.226
V-000532,P-000532,Dacia,Sandero,2015,21036,87.0,0.247,3.8,9.0,0.351
V-000533,P-000533,Dacia,Duster,2010,11591,70.6,0.182,2.8,3.8,0.543
V-000536,P-000536,Dacia,Duster,2019,17496,53.1,0.341,3.2,1.1,0.172
V-000538,P-000538,Renault,Clio,2020,2688,62.8,0.381,5.1,3.1,0.388
V-000544,P-000544,Skoda,Superb,2007,16632,83.2,0.353,4.5,1.7,0.099
V-000546,P-000546,Volkswagen,Golf,2022,7982,84.5,0.077,1.3,1.3,0.416
V-000548,P-000548,Volkswagen,Golf,2018,5969,74.2,0.43,9.5,7.0,0.219
V-000549,P-000549,Renault,Clio,2010,22367,83.8,0.458,0.3,0.4,0.445
V-000550,P-000550,Volkswagen,Polo,2019,12669,94.1,0.094,3.3,0.2,0.181
V-000551,P-000551,Dacia,Logan,2021,11127,80.7,0.148,0.5,0.3,0.101
V-000555,P-000555,Renault,Clio,2022,14623,56.4,0.072,7.0,1.7,0.211
V-000556,P-000556,Renault,Megane,2014,20560,82.1,0.422,1.9,1.1,0.115
V-000560,P-000560,Volkswagen,Passat,2005,16579,70.4,0.226,1.8,0.2,0.416
V-000567,P-000567,Volkswagen,Polo,2016,16835,61.5,0.402,1.5,8.2,0.422
V-000568,P-000568,Renault,Captur,2021,12758,77.9,0.238,7.9,2.9,0.163
V-000570,P-000570,Renault,Captur,2007,25000,63.7,0.552,4.6,2.2,0.189
V-000579,P-000579,Toyota,RAV4,2014,17516,65.6,0.605,4.3,1.0,0.167
V-000581,P-000581,Dacia,Sandero,2015,5541,44.2,0.338,0.5,1.7,0.351
V-000584,P-000584,Dacia,Logan,2019,13149,56.3,0.28,8.0,0.1,0.197
V-000585,P-000585,Volkswagen,Passat,2006,2083,65.7,0.035,0.5,5.1,0.351
V-000586,P-000586,Skoda,Fabia,2024,14798,68.5,0.009,2.5,1.8,0.155
V-000587,P-000587,Renault,Captur,2023,6356,56.9,0.521,3.8,1.5,0.226
V-000588,P-000588,Volkswagen,Golf,2011,8677,56.1,0.267,0.5,2.0,0.448
V-000589,P-000589,Volkswagen,Golf,2020,14829,81.7,0.21,0.6,4.8,0.069
V-000591,P-000591,Toyota,RAV4,2020,13780,65.9,0.125,1.9,0.2,0.282
V-000592,P-000592,Volkswagen,Golf,2005,6665,55.1,0.517,2.2,0.1,0.286
V-000596,P-000596,Skoda,Superb,2006,12454,75.2,0.091,8.0,1.0,0.124
V-000597,P-000597,Dacia,Logan,2007,12180,70.3,0.255,6.3,8.0,0.205
V-000598,P-000598,Renault,Clio,2007,16864,56.0,0.161,3.1,0.1,0.138
V-000599,P-000599,Dacia,Logan,2014,22160,70.8,0.252,0.6,0.7,0.328
V-000602,P-000602,Volkswagen,Golf,2005,11138,34.5,0.192,2.3,4.8,0.196
V-000604,P-000604,Toyota,Corolla,2009,14799,69.8,0.22,9.6,2.8,0.416
V-000606,P-000606,Volkswagen,Polo,2021,17758,60.0,0.338,2.0,1.8,0.2
V-000607,P-000607,Dacia,Sandero,2013,22320,64.7,0.221,1.5,1.6,0.329
V-000610,P-000610,Renault,Clio,2007,6903,56.5,0.129,1.9,1.7,0.066
V-000611,P-000611,Skoda,Fabia,2020,9509,92.8,0.306,8.4,1.2,0.13
V-000612,P-000612,Toyota,Corolla,2017,14934,55.8,0.203,7.4,1.1,0.352
V-000613,P-000613,Toyota,RAV4,2006,9992,88.2,0.416,2.3,0.4,0.383
V-000614,P-000614,Skoda,Octavia,2008,8277,53.5,0.247,5.6,5.2,0.045
V-000615,P-000615,Renault,Clio,2018,12526,70.8,0.377,3.1,4.3,0.042
V-000618,P-000618,Toyota,RAV4,2012,16640,53.4,0.344,2.5,1.4,0.219
V-000621,P-000621,Dacia,Duster,2009,6686,82.3,0.482,3.9,1.7,0.243
V-000623,P-000623,Toyota,RAV4,2009,13309,63.3,0.028,7.2,3.0,0.331
V-000624,P-000624,Volkswagen,Passat,2019,11377,55.5,0.098,4.0,2.6,0.467
V-000625,P-000625,Toyota,RAV4,2021,2000,63.1,0.072,7.7,6.4,0.284
V-000626,P-000626,Dacia,Sandero,2015,14554,78.1,0.103,2.8,2.0,0.203
V-000629,P-000629,Dacia,Duster,2011,9921,79.7,0.251,1.0,5.3,0.272
V-000630,P-000630,Renault,Captur,2023,6723,80.8,0.197,7.1,0.1,0.231
V-000631,P-000631,Renault,Clio,2021,4288,68.6,0.292,1.7,0.8,0.196
V-000633,P-000633,Skoda,Octavia,2015,8946,78.1,0.583,7.0,3.5,0.159
V-000634,P-000634,Skoda,Fabia,2008,20439,50.7,0.148,3.5,1.2,0.136
V-000639,P-000639,Toyota,Yaris,2021,3147,65.8,0.05,2.9,2.0,0.105
V-000642,P-000642,Toyota,RAV4,2009,14647,66.9,0.268,1.4,1.5,0.281
V-000643,P-000643,Volkswagen,Golf,2023,2840,70.8,0.141,4.1,3.8,0.144
V-000650,P-000650,Dacia,Logan,2007,18082,56.3,0.14,5.2,7.6,0.405
V-000653,P-000653,Volkswagen,Polo,2010,12576,70.3,0.069,8.2,4.4,0.149
V-000656,P-000656,Renault,Megane,2008,11705,67.7,0.103,4.6,2.1,0.182
V-000657,P-000657,Dacia,Sandero,2016,10186,63.4,0.288,8.8,3.9,0.149
V-000662,P-000662,Volkswagen,Polo,2013,6752,73.0,0.151,2.9,2.9,0.301
V-000666,P-000666,Volkswagen,Golf,2017,13739,64.7,0.306,2.4,0.4,0.299
V-000669,P-000669,Skoda,Octavia,2021,11769,84.2,0.115,3.1,3.5,0.445
V-000679,P-000679,Renault,Clio,2019,16577,59.2,0.492,5.0,1.1,0.274
V-000681,P-000681,Renault,Clio,2009,8021,62.7,0.452,1.5,2.6,0.175
V-000682,P-000682,Volkswagen,Polo,2016,2000,81.9,0.218,1.6,2.4,0.14
V-000685,P-000685,Renault,Captur,2019,16643,69.7,0.035,8.4,5.0,0.045
V-000686,P-000686,Dacia,Sandero,2013,15313,59.1,0.46,1.2,2.3,0.142
V-000687,P-000687,Volkswagen,Golf,2016,3735,82.6,0.145,5.7,3.8,0.24
V-000688,P-000688,Volkswagen,Polo,2017,12267,74.1,0.098,1.9,1.9,0.565
V-000689,P-000689,Volkswagen,Golf,2008,17520,92.7,0.404,4.9,4.7,0.322
V-000690,P-000690,Skoda,Octavia,2017,14740,80.6,0.32,3.4,1.0,0.172
V-000691,P-000691,Dacia,Sandero,2017,14873,72.9,0.296,11.8,4.0,0.227
V-000692,P-000692,Renault,Megane,2012,22020,60.3,0.361,2.1,0.8,0.174
V-000695,P-000695,Skoda,Superb,2011,18173,39.4,0.267,1.2,0.1,0.144
V-000697,P-000697,Volkswagen,Passat,2005,13685,59.3,0.267,3.2,0.7,0.168
