coverage_id,policy_id,coverage_type,limit,deductible,premium_component
CV-0000200,P-000037,personal_property,35000.0,100,24.8
CV-0000201,P-000037,liability,50000.0,100,27.05
CV-0000202,P-000037,loss_of_use,5000.0,250,62.1
CV-0000203,P-000038,dwelling,143748.13,500,79.95
CV-0000204,P-000038,other_structures,14374.81,500,117.49
CV-0000205,P-000038,personal_property,28749.63,1000,53.67
CV-0000206,P-000038,loss_of_use,14374.81,500,48.18
CV-0000207,P-000038,personal_liability,100000.0,500,103.59
CV-0000208,P-000038,medical_payments,5000.0,500,46.14
CV-0000209,P-000039,liability_bi,50000.0,0,57.73
CV-0000210,P-000039,liability_pd,25000.0,200,45.37
CV-0000211,P-000039,collision,15000.0,400,36.91
CV-0000212,P-000039,comprehensive,15000.0,800,58.68
CV-0000213,P-000039,uninsured_motorist,25000.0,400,37.18
CV-0000214,P-000039,medical_payments,5000.0,400,50.8
CV-0000215,P-000040,liability_bi,50000.0,400,84.03
CV-0000216,P-000040,liability_pd,25000.0,400,43.29
CV-0000217,P-000040,collision,15000.0,200,65.49
CV-0000218,P-000040,comprehensive,15000.0,0,72.8
CV-0000219,P-000040,uninsured_motorist,25000.0,0,74.82
CV-0000220,P-000040,medical_payments,5000.0,800,42.76
CV-0000221,P-000041,dwelling,76766.12,250,75.41
CV-0000222,P-000041,other_structures,7676.61,1000,66.86
CV-0000223,P-000041,personal_property,15353.22,1500,53.18
CV-0000224,P-000041,loss_of_use,7676.61,500,42.09
CV-0000225,P-000041,personal_liability,100000.0,250,32.06
CV-0000226,P-000041,medical_payments,5000.0,1000,76.64
CV-0000227,P-000042,dwelling,80701.66,1000,79.61
CV-0000228,P-000042,other_structures,8070.17,500,37.31
CV-0000229,P-000042,personal_property,16140.33,1000,50.33
CV-0000230,P-000042,loss_of_use,8070.17,1500,70.92
CV-0000231,P-000042,personal_liability,100000.0,500,102.17
CV-0000232,P-000042,medical_payments,5000.0,1000,44.28
CV-0000233,P-000043,personal_property,15000.0,250,17.0
CV-0000234,P-000043,liability,50000.0,100,36.35
CV-0000235,P-000043,loss_of_use,5000.0,250,36.6
CV-0000236,P-000044,building,949864.95,1000,235.87
CV-0000237,P-000044,contents,217895.45,10000,197.23
CV-0000238,P-000044,business_interruption,379945.98,2500,179.83
CV-0000239,P-000044,equipment_breakdown,189972.99,2500,154.39
CV-0000240,P-000044,liability,250000.0,1000,165.08
CV-0000241,P-000045,liability_bi,50000.0,200,27.46
CV-0000242,P-000045,liability_pd,25000.0,200,52.42
CV-0000243,P-000045,collision,15000.0,800,40.72
CV-0000244,P-000045,comprehensive,15000.0,800,63.31
CV-0000245,P-000045,uninsured_motorist,25000.0,0,42.14
CV-0000246,P-000045,medical_payments,5000.0,400,69.35
CV-0000247,P-000046,dwelling,42950.06,500,23.17
CV-0000248,P-000046,other_structures,4295.01,250,57.35
CV-0000249,P-000046,personal_property,8590.01,500,48.58
CV-0000250,P-000046,loss_of_use,4295.01,250,23.14
CV-0000251,P-000046,personal_liability,100000.0,500,48.52
CV-0000252,P-000046,medical_payments,5000.0,1500,24.36
CV-0000253,P-000047,dwelling,58092.11,1000,25.32
CV-0000254,P-000047,other_structures,5809.21,500,56.58
CV-0000255,P-000047,personal_property,11618.42,500,58.16
CV-0000256,P-000047,loss_of_use,5809.21,500,74.21
CV-0000257,P-000047,personal_liability,100000.0,500,61.24
CV-0000258,P-000047,medical_payments,5000.0,500,54.86
CV-0000259,P-000048,dwelling,106610.71,250,68.29
CV-0000260,P-000048,other_structures,10661.07,1000,53.46
CV-0000261,P-000048,personal_property,21322.14,500,63.76
CV-0000262,P-000048,loss_of_use,10661.07,500,80.83
CV-0000263,P-000048,personal_liability,100000.0,1000,54.43
CV-0000264,P-000048,medical_payments,5000.0,1000,111.58
CV-0000265,P-000049,liability_bi,50000.0,400,37.02
CV-0000266,P-000049,liability_pd,25000.0,200,79.89
CV-0000267,P-000049,collision,15000.0,800,46.88
CV-0000268,P-000049,comprehensive,15000.0,200,68.68
CV-0000269,P-000049,uninsured_motorist,25000.0,200,73.8
CV-0000270,P-000049,medical_payments,5000.0,800,54.65
CV-0000271,P-000050,dwelling,48202.51,250,31.18
CV-0000272,P-000050,other_structures,4820.25,1000,67.88
CV-0000273,P-000050,personal_property,9640.5,1000,28.96
CV-0000274,P-000050,loss_of_use,4820.25,500,45.12
CV-0000275,P-000050,personal_liability,100000.0,250,35.19
CV-0000276,P-000050,medical_payments,5000.0,1500,33.4
CV-0000277,P-000051,liability_bi,50000.0,400,23.11
CV-0000278,P-000051,liability_pd,25000.0,200,47.1
CV-0000279,P-000051,collision,15000.0,200,58.22
CV-0000280,P-000051,comprehensive,15000.0,200,66.99
CV-0000281,P-000051,uninsured_motorist,25000.0,400,31.08
CV-0000282,P-000051,medical_payments,5000.0,200,74.74
CV-0000283,P-000052,liability_bi,50000.0,200,87.51
CV-0000284,P-000052,liability_pd,25000.0,400,76.7
CV-0000285,P-000052,collision,15000.0,200,34.59
CV-0000286,P-000052,comprehensive,15000.0,800,24.62
CV-0000287,P-000052,uninsured_motorist,25000.0,800,38.28
CV-0000288,P-000052,medical_payments,5000.0,800,31.04
CV-0000289,P-000053,dwelling,89833.82,250,103.49
CV-0000290,P-000053,other_structures,8983.38,500,43.86
CV-0000291,P-000053,personal_property,17966.76,500,39.01
CV-0000292,P-000053,loss_of_use,8983.38,1000,103.5
CV-0000293,P-000053,personal_liability,100000.0,500,87.3
CV-0000294,P-000053,medical_payments,5000.0,500,69.28
CV-0000295,P-000054,dwelling,113085.87,1000,96.45
CV-0000296,P-000054,other_structures,11308.59,500,39.7
CV-0000297,P-000054,personal_property,22617.17,500,48.43
CV-0000298,P-000054,loss_of_use,11308.59,1000,80.04
CV-0000299,P-000054,personal_liability,100000.0,500,93.51
CV-0000300,P-000054,medical_payments,5000.0,1500,78.83
CV-0000301,P-000055,dwelling,35201.0,500,80.61
CV-0000302,P-000055,other_structures,3520.1,500,49.37
CV-0000303,P-000055,personal_property,7040.2,250,79.67
CV-0000304,P-000055,loss_of_use,3520.1,1000,60.25
CV-0000305,P-000055,personal_liability,100000.0,250,61.51
CV-0000306,P-000055,medical_payments,5000.0,500,48.43
CV-0000307,P-000056,liability_bi,50000.0,200,86.47
CV-0000308,P-000056,liability_pd,25000.0,200,73.07
CV-0000309,P-000056,collision,15000.0,800,108.64
CV-0000310,P-000056,comprehensive,15000.0,200,69.97
CV-0000311,P-000056,uninsured_motorist,25000.0,200,85.14
CV-0000312,P-000056,medical_payments,5000.0,800,37.24
CV-0000313,P-000057,building,1182508.94,10000,253.79
CV-0000314,P-000057,contents,2227673.34,2500,295.57
CV-0000315,P-000057,business_interruption,473003.57,2500,528.01
CV-0000316,P-000057,equipment_breakdown,236501.79,1000,555.59
CV-0000317,P-000057,liability,250000.0,1000,475.94
CV-0000318,P-000058,dwelling,34002.76,500,77.01
CV-0000319,P-000058,other_structures,3400.28,500,40.9
CV-0000320,P-000058,personal_property,6800.55,1000,42.99
CV-0000321,P-000058,loss_of_use,3400.28,1000,36.7
CV-0000322,P-000058,personal_liability,100000.0,500,43.81
CV-0000323,P-000058,medical_payments,5000.0,1000,76.53
CV-0000324,P-000059,liability_bi,50000.0,200,79.54
CV-0000325,P-000059,liability_pd,25000.0,200,85.54
CV-0000326,P-000059,collision,15000.0,800,103.41
CV-0000327,P-000059,comprehensive,15000.0,400,77.46
CV-0000328,P-000059,uninsured_motorist,25000.0,200,70.26
CV-0000329,P-000059,medical_payments,5000.0,200,74.94
CV-0000330,P-000060,personal_property,15000.0,250,21.46
CV-0000331,P-000060,liability,50000.0,250,35.23
CV-0000332,P-000060,loss_of_use,5000.0,250,38.91
CV-0000333,P-000061,liability_bi,50000.0,400,70.69
CV-0000334,P-000061,liability_pd,25000.0,200,57.44
CV-0000335,P-000061,collision,15000.0,400,83.61
CV-0000336,P-000061,comprehensive,15000.0,200,96.81
CV-0000337,P-000061,uninsured_motorist,25000.0,800,67.67
CV-0000338,P-000061,medical_payments,5000.0,400,82.82
CV-0000339,P-000062,liability_bi,50000.0,200,67.57
CV-0000340,P-000062,liability_pd,25000.0,400,60.83
CV-0000341,P-000062,collision,15000.0,800,33.3
CV-0000342,P-000062,comprehensive,15000.0,0,30.92
CV-0000343,P-000062,uninsured_motorist,25000.0,800,54.86
CV-0000344,P-000062,medical_payments,5000.0,400,66.79
CV-0000345,P-000063,personal_property,35000.0,250,38.15
CV-0000346,P-000063,liability,50000.0,250,39.95
CV-0000347,P-000063,loss_of_use,5000.0,250,39.23
CV-0000348,P-000064,dwelling,108085.1,500,53.71
CV-0000349,P-000064,other_structures,10808.51,500,92.33
CV-0000350,P-000064,personal_property,21617.02,1500,100.07
CV-0000351,P-000064,loss_of_use,10808.51,1000,73.19
CV-0000352,P-000064,personal_liability,100000.0,500,94.36
CV-0000353,P-000064,medical_payments,5000.0,1000,60.22
CV-0000354,P-000065,liability_bi,50000.0,200,53.07
CV-0000355,P-000065,liability_pd,25000.0,400,55.01
CV-0000356,P-000065,collision,15000.0,200,44.55
CV-0000357,P-000065,comprehensive,15000.0,400,74.73
CV-0000358,P-000065,uninsured_motorist,25000.0,400,63.6
CV-0000359,P-000065,medical_payments,5000.0,800,72.29
CV-0000360,P-000066,dwelling,68278.81,500,71.03
CV-0000361,P-000066,other_structures,6827.88,500,53.69
CV-0000362,P-000066,personal_property,13655.76,1500,81.46
CV-0000363,P-000066,loss_of_use,6827.88,500,87.12
CV-0000364,P-000066,personal_liability,100000.0,500,37.03
CV-0000365,P-000066,medical_payments,5000.0,250,60.72
CV-0000366,P-000067,liability_bi,50000.0,400,73.78
CV-0000367,P-000067,liability_pd,25000.0,400,44.39
CV-0000368,P-000067,collision,15000.0,400,83.26
CV-0000369,P-000067,comprehensive,15000.0,800,97.01
CV-0000370,P-000067,uninsured_motorist,25000.0,800,68.17
CV-0000371,P-000067,medical_payments,5000.0,400,97.42
CV-0000372,P-000068,dwelling,63818.02,250,25.23
CV-0000373,P-000068,other_structures,6381.8,500,30.0
CV-0000374,P-000068,personal_property,12763.6,500,30.43
CV-0000375,P-000068,loss_of_use,6381.8,250,79.09
CV-0000376,P-000068,personal_liability,100000.0,500,51.9
CV-0000377,P-000068,medical_payments,5000.0,500,45.93
CV-0000378,P-000069,dwelling,76497.4,500,93.1
CV-0000379,P-000069,other_structures,7649.74,500,48.3
CV-0000380,P-000069,personal_property,15299.48,1500,37.76
CV-0000381,P-000069,loss_of_use,7649.74,1500,83.96
CV-0000382,P-000069,personal_liability,100000.0,1000,34.95
CV-0000383,P-000069,medical_payments,5000.0,1500,65.38
CV-0000384,P-000070,liability_bi,50000.0,200,36.43
CV-0000385,P-000070,liability_pd,25000.0,200,81.47
CV-0000386,P-000070,collision,15000.0,400,46.99
CV-0000387,P-000070,comprehensive,15000.0,800,42.53
CV-0000388,P-000070,uninsured_motorist,25000.0,400,97.03
CV-0000389,P-000070,medical_payments,5000.0,200,82.26
CV-0000390,P-000071,personal_property,35000.0,250,40.88
CV-0000391,P-000071,liability,50000.0,500,42.53
CV-0000392,P-000071,loss_of_use,5000.0,250,55.49
CV-0000393,P-000072,liability_bi,50000.0,200,70.52
CV-0000394,P-000072,liability_pd,25000.0,400,29.65
CV-0000395,P-000072,collision,15000.0,400,58.06
CV-0000396,P-000072,comprehensive,15000.0,400,64.85
CV-0000397,P-000072,uninsured_motorist,25000.0,400,84.02
CV-0000398,P-000072,medical_payments,5000.0,400,40.15
CV-0000399,P-000073,liability_bi,50000.0,200,65.2
CV-0000400,P-000073,liability_pd,25000.0,200,65.68
CV-0000401,P-000073,collision,15000.0,200,74.88
CV-0000402,P-000073,comprehensive,15000.0,400,69.52
CV-0000403,P-000073,uninsured_motorist,25000.0,200,24.6
CV-0000404,P-000073,medical_payments,5000.0,200,34.21
CV-0000405,P-000074,liability_bi,50000.0,800,45.39
CV-0000406,P-000074,liability_pd,25000.0,200,41.38
CV-0000407,P-000074,collision,15000.0,800,30.93
CV-0000408,P-000074,comprehensive,15000.0,200,68.83
CV-0000409,P-000074,uninsured_motorist,25000.0,200,77.36
CV-0000410,P-000074,medical_payments,5000.0,0,44.9
CV-0000411,P-000075,dwelling,118990.42,500,66.63
CV-0000412,P-000075,other_structures,11899.04,250,76.45
CV-0000413,P-000075,personal_property,23798.08,1000,45.8
CV-0000414,P-000075,loss_of_use,11899.04,250,48.41
CV-0000415,P-000075,personal_liability,100000.0,1500,113.51
CV-0000416,P-000075,medical_payments,5000.0,250,75.78
CV-0000417,P-000076,liability_bi,50000.0,0,36.17
CV-0000418,P-000076,liability_pd,25000.0,400,64.02
CV-0000419,P-000076,collision,15000.0,200,31.32
CV-0000420,P-000076,comprehensive,15000.0,200,36.03
CV-0000421,P-000076,uninsured_motorist,25000.0,0,80.71
CV-0000422,P-000076,medical_payments,5000.0,400,44.54
CV-0000423,P-000077,liability_bi,50000.0,400,103.9
CV-0000424,P-000077,liability_pd,25000.0,800,74.63
CV-0000425,P-000077,collision,15000.0,200,37.61
CV-0000426,P-000077,comprehensive,15000.0,200,88.63
CV-0000427,P-000077,uninsured_motorist,25000.0,200,49.2
CV-0000428,P-000077,medical_payments,5000.0,400,59.1
CV-0000429,P-000078,dwelling,123324.32,500,121.82
CV-0000430,P-000078,other_structures,12332.43,500,113.9
CV-0000431,P-000078,personal_property,24664.86,500,93.54
CV-0000432,P-000078,loss_of_use,12332.43,500,107.76
CV-0000433,P-000078,personal_liability,100000.0,1000,112.58
CV-0000434,P-000078,medical_payments,5000.0,1500,46.35
CV-0000435,P-000079,building,4769819.68,1000,748.13
CV-0000436,P-000079,contents,1515186.22,2500,1055.88
CV-0000437,P-000079,business_interruption,1907927.87,5000,1078.49
CV-0000438,P-000079,equipment_breakdown,953963.94,10000,900.96
CV-0000439,P-000079,liability,250000.0,2500,550.84
CV-0000440,P-000080,dwelling,164644.79,1500,133.19
CV-0000441,P-000080,other_structures,16464.48,500,68.94
CV-0000442,P-000080,personal_property,32928.96,1500,82.57
CV-0000443,P-000080,loss_of_use,16464.48,500,144.6
CV-0000444,P-000080,personal_liability,100000.0,1000,121.04
CV-0000445,P-000080,medical_payments,5000.0,500,130.38
CV-0000446,P-000081,dwelling,95130.17,1000,38.28
CV-0000447,P-000081,other_structures,9513.02,250,78.01
CV-0000448,P-000081,personal_property,19026.03,1000,74.28
CV-0000449,P-000081,loss_of_use,9513.02,1000,109.33
CV-0000450,P-000081,personal_liability,100000.0,1500,74.27
CV-0000451,P-000081,medical_payments,5000.0,500,81.69
CV-0000452,P-000082,dwelling,98182.11,500,37.37
CV-0000453,P-000082,other_structures,9818.21,250,95.08
CV-0000454,P-000082,personal_property,19636.42,250,49.91
CV-0000455,P-000082,loss_of_use,9818.21,500,62.16
CV-0000456,P-000082,personal_liability,100000.0,500,68.61
CV-0000457,P-000082,medical_payments,5000.0,250,40.65
CV-0000458,P-000083,dwelling,134870.8,1000,88.83
CV-0000459,P-000083,other_structures,13487.08,1000,109.16
CV-0000460,P-000083,personal_property,26974.16,500,124.2
CV-0000461,P-000083,loss_of_use,13487.08,500,103.38
CV-0000462,P-000083,personal_liability,100000.0,1500,120.4
CV-0000463,P-000083,medical_payments,5000.0,1000,57.54
CV-0000464,P-000084,personal_property,25000.0,250,21.81
CV-0000465,P-000084,liability,50000.0,250,49.2
CV-0000466,P-000084,loss_of_use,5000.0,250,39.53
CV-0000467,P-000085,dwelling,99225.79,1000,86.19
CV-0000468,P-000085,other_structures,9922.58,500,85.44
CV-0000469,P-000085,personal_property,19845.16,1500,45.41
CV-0000470,P-000085,loss_of_use,9922.58,500,110.8
CV-0000471,P-000085,personal_liability,100000.0,250,66.84
CV-0000472,P-000085,medical_payments,5000.0,500,60.48
CV-0000473,P-000086,building,3829744.83,10000,721.05
CV-0000474,P-000086,contents,809540.24,2500,743.1
CV-0000475,P-000086,business_interruption,1531897.93,5000,243.37
CV-0000476,P-000086,equipment_breakdown,765948.97,5000,720.83
CV-0000477,P-000086,liability,250000.0,5000,596.08
CV-0000478,P-000087,building,1237899.57,5000,207.63
CV-0000479,P-000087,contents,1198777.41,2500,168.82
CV-0000480,P-000087,business_interruption,495159.83,5000,114.14
CV-0000481,P-000087,equipment_breakdown,247579.91,1000,207.71
